from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5853758;475;33273;148;94;35929;246;212;59263;260;229;52522;71;49157;64;49157;44
5785641;5853758;478;33478;171;108;40196;254;215;59469;260;197;57141;75;49367;66;49367;44
5785642;5853758;480;33596;171;108;40196;254;216;59587;260;199;57259;75;49194;66;47418;44
5785643;5853758;484;33889;172;109;42275;261;210;64572;260;203;57552;75;51751;66;49974;45
5787544;5853758;468;32783;145;92;35389;239;205;58774;244;205;63466;70;48731;64;48731;44
5787545;5853758;469;32852;145;92;35389;239;206;58843;244;206;63535;70;49017;64;49017;44
5787546;5853758;473;33078;145;92;35389;246;209;59068;260;226;52327;75;48220;66;46444;44
5787547;5853758;478;33456;171;108;40196;261;222;59968;256;204;57640;75;48611;66;46835;44
5787548;5853758;475;33231;171;108;40196;261;218;59695;248;200;57368;75;48733;66;46956;44
5787549;5853758;477;33365;171;108;40196;261;222;59988;251;204;57660;75;48976;66;47199;45
5787550;5853758;519;36312;172;109;42275;246;208;74145;260;217;68408;75;51549;66;49773;45
5789447;5853758;436;30509;136;86;33291;216;180;46835;198;165;60699;66;46541;60;46541;41
5789448;5853758;440;30789;136;86;33294;216;181;46856;198;166;60720;66;46906;60;46906;41
5789449;5853758;445;31137;138;87;33984;216;182;46916;198;167;60780;67;47332;61;47332;41
5789450;5853758;472;33020;138;87;33984;246;208;59010;260;225;52269;67;47650;61;47650;41
5789451;5853758;472;33058;145;92;35389;246;209;59048;260;226;52307;70;48978;64;48978;44
5789452;5853758;470;32892;145;92;35389;261;231;47391;240;198;54234;74;48119;65;46343;44
5789453;5853758;470;32929;171;108;40196;261;225;60174;240;199;54271;75;48296;66;46520;44
5789454;5853758;472;33016;171;108;40196;261;222;59977;240;207;52292;75;48560;66;46784;44
5789455;5853758;474;33192;172;109;42308;269;236;47690;248;203;54534;75;48781;66;47005;45
5789456;5853758;516;36152;172;109;42308;239;206;73984;260;215;68247;81;51460;72;49683;50
5791353;5853758;444;31054;134;85;32852;216;186;47195;206;171;61059;65;46131;59;46131;40
5791354;5853758;440;30822;137;87;33623;216;182;46963;206;167;60827;67;46722;61;46722;41
5791355;5853758;441;30852;137;87;33536;194;128;43922;198;162;60488;67;46903;60;46903;41
5791356;5853758;446;31200;138;87;34014;216;182;46972;206;167;60836;67;47528;61;47528;42
5791357;5853758;450;31524;138;87;33984;216;185;47040;206;170;60904;67;47642;61;47642;41
5791358;5853758;468;32781;138;87;33984;261;230;47279;233;197;54123;67;47614;61;45838;41
5791359;5853758;465;32583;138;87;33984;261;227;47082;233;201;51860;74;47937;65;46161;44
5791360;5853758;466;32638;171;108;40196;261;228;47136;233;195;53980;74;48305;65;46529;44
5791361;5853758;471;32991;172;109;42308;261;233;47489;240;200;54333;74;48660;65;46883;44
5791362;5853758;476;33302;172;109;42308;269;237;47800;251;204;54644;75;48968;66;47191;45
5791363;5853758;516;36147;172;109;42308;239;206;73980;260;215;68242;81;51355;72;49579;50
5793258;5853758;449;31440;138;87;34097;216;191;47581;214;176;61445;67;47396;61;47396;42
5793259;5853758;445;31140;138;87;34041;216;187;47281;206;172;61145;67;47236;61;47236;41
5793260;5853758;445;31175;137;87;33627;216;187;47315;206;172;61179;67;47199;61;47199;41
5793261;5853758;445;31135;138;87;33801;216;181;46760;198;166;60624;67;46980;61;46980;41
5793262;5853758;446;31241;138;87;33909;216;181;46758;198;166;60622;67;47405;61;47405;41
5793263;5853758;463;32397;138;87;33909;223;186;46341;206;171;60205;67;48511;61;48511;41
5793264;5853758;462;32328;141;89;34824;261;223;46826;229;197;51605;74;47558;65;45782;43
5793265;5853758;462;32368;141;89;34762;261;224;46867;229;198;51645;74;47891;65;46114;43
5793266;5853758;463;32377;163;103;38726;261;224;46876;229;198;51654;74;48088;65;46311;44
5793267;5853758;474;33152;163;103;38726;261;235;47650;244;202;54494;74;48883;65;47106;44
5793268;5853758;479;33549;172;109;42308;277;236;60965;260;208;54892;75;49109;66;47333;45
5793269;5853758;514;36012;174;110;42024;250;215;74661;260;224;68923;81;47921;71;46145;50
5793270;5853758;512;35832;174;110;42024;246;213;74480;260;222;68743;81;50810;71;49034;50
5795164;5853758;450;31515;138;87;34041;223;192;47656;214;177;61520;67;47520;61;47520;42
5795165;5853758;451;31597;138;87;34041;231;193;47737;214;178;61601;67;49296;61;49296;42
5795166;5853758;450;31527;144;91;35562;223;192;47668;214;177;61531;71;49145;64;49145;44
5795167;5853758;450;31535;138;87;33834;216;182;46059;206;167;59922;68;47531;61;47531;42
5795168;5853758;449;31433;141;89;34824;216;182;46059;206;167;59923;69;48093;63;48093;43
5795169;5853758;460;32210;141;89;34824;216;183;46154;206;168;60018;69;48315;63;48315;43
5795170;5853758;458;32058;141;89;34762;261;219;46557;229;193;51335;69;47297;62;45520;43
5795171;5853758;457;31977;141;89;34909;261;218;46475;229;192;51254;74;47598;65;45821;43
5795172;5853758;462;32312;163;103;38726;261;223;46810;229;197;51588;74;48040;65;46264;44
5795173;5853758;465;32540;163;103;38726;261;226;47038;229;200;51817;74;48131;65;46355;44
5795174;5853758;462;32350;163;103;38726;261;224;46848;229;197;51626;74;47765;66;45989;44
5795175;5853758;461;32287;163;103;38726;261;223;46785;229;197;51564;74;47902;66;46125;44
5795176;5853758;512;35868;164;103;38752;246;213;74517;260;222;68779;75;47426;66;45649;45
5797069;5853758;422;29552;131;83;32178;216;159;55535;209;175;45364;-1;-1;-1;-1;-1
5797070;5853758;453;31714;131;83;32178;231;195;47854;214;180;61718;68;47798;62;47798;43
5797071;5853758;455;31831;144;91;35562;231;197;47971;214;182;61835;71;49198;64;49198;44
5797072;5853758;456;31908;144;91;35562;216;183;46150;206;168;60014;70;48915;64;48915;43
5797073;5853758;453;31709;144;91;35562;216;179;45865;198;164;59729;68;48999;62;48999;42
5797074;5853758;455;31817;140;89;34555;194;129;43058;198;163;59624;68;47864;62;47864;42
5797075;5853758;458;32025;141;89;34762;216;181;45969;198;166;59833;69;48196;62;48196;43
5797076;5853758;453;31741;141;89;34909;254;215;46240;225;189;51018;70;47244;63;45468;43
5797077;5853758;455;31868;141;89;34909;254;217;46366;225;191;51145;74;47676;65;45900;43
5797078;5853758;460;32202;163;103;38726;261;222;46700;229;195;51478;74;48213;65;46437;44
5797079;5853758;459;32109;163;103;38726;261;220;46607;229;194;51386;74;48050;65;46274;44
5797080;5853758;459;32153;163;103;38726;261;221;46652;229;195;51430;74;47261;66;45484;44
5797081;5853758;459;32140;163;103;38726;261;221;46638;229;194;51416;74;47881;66;46104;44
5797082;5853758;461;32298;164;103;38752;246;211;74380;221;189;42541;75;47412;66;45636;45
5798974;5853758;403;28180;128;81;30756;216;139;54162;190;155;43992;63;43942;56;43942;37
5798975;5853758;458;32074;140;89;34734;231;200;48215;229;185;62078;69;48145;62;48145;43
5798976;5853758;458;32068;140;89;34734;231;200;48209;229;185;62073;68;48033;62;48033;43
5798977;5853758;458;32075;144;91;35562;231;200;48216;229;185;62080;70;49238;63;49238;43
5798978;5853758;454;31750;142;90;34986;216;180;45688;198;165;59552;70;48709;63;48709;43
5798979;5853758;451;31573;141;89;34757;205;129;42809;198;163;59375;71;49067;64;49067;44
5798980;5853758;451;31573;141;89;34752;205;129;42809;198;163;59376;69;48227;62;48227;43
5798981;5853758;455;31844;141;89;34777;216;182;45783;206;167;59647;70;48615;63;48615;43
5798982;5853758;451;31573;141;89;34909;246;213;46072;217;184;42181;70;47104;63;45328;43
5798983;5853758;449;31448;141;89;34909;246;211;45946;217;185;50725;73;47044;64;45268;43
5798984;5853758;449;31441;160;101;37994;246;211;45939;217;185;50718;73;47036;64;45260;43
5798985;5853758;454;31806;160;101;37994;254;216;46304;225;190;51082;73;46928;64;45152;43
5798986;5853758;452;31668;163;103;38726;246;214;46166;221;188;50944;73;47194;64;45418;43
5798987;5853758;456;31924;163;103;38726;254;218;46422;229;191;51200;74;47653;66;45877;44
5798988;5853758;455;31882;161;102;38218;246;212;74446;213;183;42125;74;46888;65;45112;44
5800879;5853758;395;27683;127;80;30418;194;125;42051;183;148;43495;62;43663;56;43663;38
5800880;5853758;399;27962;128;81;30752;205;129;42329;183;152;43774;63;43938;56;43938;37
5800881;5853758;461;32279;128;81;30752;231;203;48419;229;188;62283;69;43598;62;43598;43
5800882;5853758;452;31661;140;89;34734;231;199;46458;217;184;60322;73;50740;65;50740;44
5800883;5853758;453;31697;143;90;35308;239;200;46494;225;185;60358;72;50517;65;50517;44
5800884;5853758;452;31618;142;90;34985;216;179;45581;198;164;59445;69;48526;63;48526;43
5800885;5853758;448;31354;142;90;34973;194;127;42652;198;161;59218;69;48229;63;48229;43
5800886;5853758;446;31206;141;89;34775;194;129;42795;198;163;59361;69;48520;63;48520;43
5800887;5853758;448;31327;141;89;34777;216;182;45771;198;167;59635;69;48604;63;48604;43
5800888;5853758;440;30784;157;99;37241;239;201;45283;206;175;50061;72;46220;63;44444;42
5800889;5853758;446;31188;157;99;37241;246;207;45687;214;181;50465;73;46809;64;45033;43
5800890;5853758;447;31264;157;99;37365;246;208;45763;214;182;50541;73;46722;64;44946;43
5800891;5853758;450;31475;160;101;37937;246;211;45974;217;182;42083;73;46599;64;44823;43
5800892;5853758;449;31412;160;101;37994;246;210;45910;214;184;50689;73;47073;64;45297;43
5800893;5853758;451;31573;160;101;37994;246;213;46072;217;184;42181;73;47614;64;45838;43
5800894;5853758;454;31792;161;102;38218;246;215;45482;209;182;42035;74;46894;65;45118;44
5800895;5853758;451;31552;160;101;38049;246;211;45242;205;178;41795;74;46794;65;45018;44
5802783;5853758;394;27585;126;80;30168;183;123;41952;183;147;43397;62;43660;56;43660;38
5802784;5853758;392;27466;126;80;30168;183;122;41833;183;145;43278;62;43630;56;43630;38
5802785;5853758;396;27745;128;81;30739;194;126;42112;183;149;43556;62;43136;56;43136;38
5802786;5853758;454;31798;128;81;30752;239;201;46595;225;186;60459;73;43350;65;43350;44
5802787;5853758;451;31561;128;81;30752;231;198;46358;217;183;60222;72;50551;65;50551;44
5802788;5853758;448;31363;143;90;35317;231;195;46160;214;180;60024;72;50304;65;50304;43
5802789;5853758;448;31364;143;90;35317;231;195;46160;214;180;60024;70;48767;63;48767;43
5802790;5853758;449;31432;143;91;35368;216;179;45603;198;164;59467;70;48289;63;48289;43
5802791;5853758;442;30934;142;90;35236;205;129;42259;198;163;58825;69;48562;63;48562;43
5802792;5853758;445;31170;143;90;35243;216;181;45197;198;166;59061;70;48865;63;48865;43
5802793;5853758;437;30556;157;99;37241;231;198;45055;202;172;49833;72;46162;63;44385;42
5802794;5853758;441;30892;157;99;37241;239;203;45390;209;177;50169;72;46447;64;44670;42
5802795;5853758;441;30892;157;99;37365;239;203;45391;209;177;50169;73;46448;64;44671;43
5802796;5853758;443;31006;160;101;37924;239;204;45504;209;178;50283;73;46644;64;44867;43
5802797;5853758;448;31367;160;101;37979;246;210;45866;214;183;50644;73;46964;64;45188;43
5802798;5853758;451;31542;158;100;37651;246;212;46040;217;183;42150;73;46707;65;44931;43
5802799;5853758;446;31235;159;100;37631;239;207;44925;202;174;41478;73;46208;64;44431;43
5802800;5853758;445;31156;159;101;37729;239;206;44846;202;173;41399;73;46376;64;44599;43
5802801;5853758;450;31524;160;101;37899;246;211;45214;205;178;41767;73;46735;65;44958;44
5804689;5853758;383;26822;123;78;29473;175;121;41787;183;136;42634;61;43351;55;43351;39
5804690;5853758;389;27248;124;79;29635;171;119;41616;183;142;43060;61;43342;56;43342;38
5804691;5853758;399;27902;132;83;30513;194;126;42140;183;147;41958;63;43326;55;43326;37
5804692;5853758;401;28094;134;85;30603;205;129;42333;183;150;42151;63;43765;57;43765;39
5804693;5853758;451;31562;134;85;30603;231;198;46359;217;183;60223;72;50615;65;50615;43
5804694;5853758;445;31123;144;91;35496;231;192;45920;214;177;59783;72;50221;65;50221;43
5804695;5853758;444;31049;144;91;35496;231;191;45846;209;176;59709;70;48854;64;48854;43
5804696;5853758;440;30773;145;91;35937;194;127;42124;198;161;58690;71;49303;64;49303;43
5804697;5853758;439;30704;143;91;35477;194;126;42029;198;160;58595;70;48898;63;48898;42
5804698;5853758;446;31232;144;91;35601;216;182;45259;206;167;59123;70;48966;64;48966;43
5804699;5853758;433;30334;155;98;36999;231;195;44833;198;169;49611;72;45878;63;44101;42
5804700;5853758;433;30293;155;98;36866;231;194;44791;198;168;49570;72;45818;63;44041;42
5804701;5853758;436;30543;157;99;37350;231;198;45041;202;172;49820;72;46207;64;44431;42
5804702;5853758;437;30606;155;98;37000;231;199;45105;202;173;49883;73;46026;64;44249;43
5804703;5853758;439;30756;158;100;37651;239;201;45254;206;175;50033;73;46200;64;44424;43
