from_id;to_id;walk_t;walk_d;pt_m_tt;pt_m_t;pt_m_d;car_m_t;car_m_d
5785640;5810463;270;18904;169;139;38284;44;21974
5785641;5810463;273;19110;174;142;38490;44;22291
5785642;5810463;275;19227;174;143;38608;47;22475
5785643;5810463;279;19521;184;147;38901;35;15046
5787544;5810463;263;18414;164;143;38653;52;22691
5787545;5810463;264;18484;164;144;38723;51;22681
5787546;5810463;-1;-1;-1;-1;-1;44;21501
5787547;5810463;280;19609;176;149;38990;43;21892
5787548;5810463;276;19336;170;145;38716;42;22014
5787549;5810463;280;19629;176;149;39009;44;22257
5787550;5810463;207;14461;189;160;14661;32;14845
5789447;5810463;273;19085;114;95;36181;47;22300
5789448;5810463;277;19365;120;95;36203;47;22033
5789449;5810463;-1;-1;-1;-1;-1;47;22275
5789450;5810463;-1;-1;-1;-1;-1;50;22594
5789451;5810463;-1;-1;-1;-1;-1;46;21508
5789452;5810463;288;20180;166;144;35583;43;21400
5789453;5810463;283;19814;166;145;35619;42;21577
5789454;5810463;280;19618;170;149;38998;42;21841
5789455;5810463;289;20248;170;148;35883;43;22062
5789456;5810463;204;14302;185;158;14501;30;14755
5791353;5810463;280;19631;125;100;36542;46;22589
5791354;5810463;277;19399;120;97;36310;46;22287
5791355;5810463;278;19428;114;92;35971;45;21847
5791356;5810463;283;19776;120;97;36319;47;22000
5791357;5810463;-1;-1;-1;-1;-1;51;22586
5791358;5810463;-1;-1;-1;-1;-1;43;20895
5791359;5810463;288;20162;165;140;35274;41;21218
5791360;5810463;285;19971;165;140;35329;43;21586
5791361;5810463;286;20048;170;145;35683;45;21940
5791362;5810463;291;20359;176;150;35994;46;22249
5791363;5810463;204;14297;185;157;14496;32;14651
5793258;5810463;286;20016;134;106;36927;47;22935
5793259;5810463;282;19717;129;102;36628;48;22800
5793260;5810463;282;19750;129;102;36661;47;22213
5793261;5810463;282;19711;120;96;36107;44;21722
5793262;5810463;283;19818;120;96;36105;46;21821
5793263;5810463;-1;-1;-1;-1;-1;49;21727
