from_id;to_id;walk_t;walk_d;pt_m_tt;pt_m_t;pt_m_d;car_m_t;car_m_d
5785640;5810399;109;7609;109;109;7609;-1;-1
5785641;5810399;112;7815;112;112;7815;-1;-1
5785642;5810399;113;7932;113;113;7932;-1;-1
5785643;5810399;118;8226;118;118;8226;-1;-1
5787544;5810399;102;7120;102;102;7120;-1;-1
5787545;5810399;103;7189;103;103;7189;-1;-1
5787546;5810399;-1;-1;-1;-1;-1;-1;-1
5787547;5810399;119;8314;119;119;8314;-1;-1
5787548;5810399;115;8041;115;115;8041;-1;-1
5787549;5810399;119;8334;119;119;8334;-1;-1
5787550;5810399;204;14290;196;187;27335;-1;-1
5789447;5810399;69;4845;69;69;4845;-1;-1
5789448;5810399;73;5125;73;71;24101;-1;-1
5789449;5810399;-1;-1;-1;-1;-1;-1;-1
5789450;5810399;-1;-1;-1;-1;-1;-1;-1
5789451;5810399;-1;-1;-1;-1;-1;-1;-1
5789452;5810399;127;8885;127;120;13891;-1;-1
5789453;5810399;122;8519;122;122;8519;-1;-1
5789454;5810399;119;8323;119;119;8323;-1;-1
5789455;5810399;128;8953;127;124;14191;-1;-1
5789456;5810399;202;14130;195;184;27175;-1;-1
5791353;5810399;77;5391;77;76;24440;-1;-1
5791354;5810399;74;5159;74;72;24208;-1;-1
5791355;5810399;74;5188;74;67;23868;-1;-1
5791356;5810399;79;5536;79;72;24217;-1;-1
5791357;5810399;-1;-1;-1;-1;-1;-1;-1
5791358;5810399;-1;-1;-1;-1;-1;-1;-1
5791359;5810399;127;8867;126;115;13582;-1;-1
5791360;5810399;124;8676;124;116;13637;-1;-1
5791361;5810399;125;8753;125;121;13991;-1;-1
5791362;5810399;129;9064;129;129;9064;-1;-1
5791363;5810399;202;14125;195;184;27170;-1;-1
5793258;5810399;83;5777;83;81;24825;-1;-1
5793259;5810399;78;5477;78;77;24525;-1;-1
5793260;5810399;79;5510;79;77;24559;-1;-1
5793261;5810399;78;5471;78;71;24004;-1;-1
5793262;5810399;80;5578;80;71;24002;-1;-1
5793263;5810399;-1;-1;-1;-1;-1;-1;-1
5793264;5810399;-1;-1;-1;-1;-1;-1;-1
5793265;5810399;129;9040;126;112;13368;-1;-1
5793266;5810399;130;9100;127;113;13376;-1;-1
5793267;5810399;-1;-1;-1;-1;-1;-1;-1
