from_id;to_id;walk_t;walk_d;pt_m_tt;pt_m_t;pt_m_d;car_m_t;car_m_d
5785640;5810400;108;7533;108;108;7533;30;13489
5785641;5810400;111;7739;111;111;7739;30;13806
5785642;5810400;112;7856;112;112;7856;33;13990
5785643;5810400;116;8150;116;116;8150;40;17042
5787544;5810400;101;7044;101;101;7044;38;14207
5787545;5810400;102;7113;102;102;7113;38;14197
5787546;5810400;-1;-1;-1;-1;-1;31;13017
5787547;5810400;118;8238;118;118;8238;29;13408
5787548;5810400;114;7965;114;114;7965;28;13529
5787549;5810400;118;8258;118;118;8258;30;13772
5787550;5810400;203;14214;198;189;27512;37;16840
5789447;5810400;68;4770;68;68;4770;33;13815
5789448;5810400;72;5049;72;72;5049;33;13548
5789449;5810400;-1;-1;-1;-1;-1;33;13791
5789450;5810400;-1;-1;-1;-1;-1;36;14109
5789451;5810400;-1;-1;-1;-1;-1;32;13024
5789452;5810400;126;8810;126;126;8810;29;12916
5789453;5810400;121;8444;121;121;8444;28;13093
5789454;5810400;118;8247;118;118;8247;28;13357
5789455;5810400;127;8877;127;127;8877;29;13577
5789456;5810400;201;14055;196;187;27352;35;16751
5791353;5810400;76;5316;76;78;24617;32;14105
5791354;5810400;73;5084;73;73;5084;32;13802
5791355;5810400;73;5113;73;73;5113;31;13362
5791356;5810400;78;5461;78;75;24394;33;13515
5791357;5810400;-1;-1;-1;-1;-1;37;14101
5791358;5810400;-1;-1;-1;-1;-1;29;12410
5791359;5810400;126;8792;125;118;13760;28;12734
5791360;5810400;123;8600;123;119;13814;29;13102
5791361;5810400;124;8677;124;124;8677;31;13456
5791362;5810400;128;8988;128;128;8988;32;13764
5791363;5810400;201;14049;196;187;27347;37;16646
5793258;5810400;81;5701;81;81;5701;33;14451
5793259;5810400;77;5401;77;77;5401;34;14315
5793260;5810400;78;5435;78;78;5435;34;13728
5793261;5810400;77;5396;77;74;24182;30;13238
5793262;5810400;79;5502;79;74;24180;33;13337
5793263;5810400;-1;-1;-1;-1;-1;36;13243
5793264;5810400;-1;-1;-1;-1;-1;29;12354
5793265;5810400;128;8965;127;115;13545;28;12687
5793266;5810400;129;9024;127;115;13554;31;12884
5793267;5810400;-1;-1;-1;-1;-1;34;13679
5793268;5810400;-1;-1;-1;-1;-1;34;13905
5793269;5810400;-1;-1;-1;-1;-1;31;12718
5793270;5810400;213;14930;197;185;20285;36;16101
5795164;5810400;83;5776;83;83;5776;34;14599
5795165;5810400;84;5858;84;84;5858;32;13266
5795166;5810400;-1;-1;-1;-1;-1;33;13115
5795167;5810400;83;5795;83;74;23480;30;12736
5795168;5810400;81;5692;81;74;23481;31;12824
5795169;5810400;93;6527;89;76;23575;34;13046
5795170;5810400;135;9468;129;110;13234;27;12093
5795171;5810400;131;9164;128;109;13154;28;12394
5795172;5810400;131;9203;128;114;13488;30;12837
5795173;5810400;-1;-1;-1;-1;-1;32;12927
5795174;5810400;172;12007;133;115;13526;30;12561
5795175;5810400;171;11944;132;114;13463;31;12698
5795176;5810400;214;14966;197;185;20321;29;12717
5797069;5810400;54;3813;54;54;3813;18;7862
5797070;5810400;85;5974;86;88;25275;35;14878
5797071;5810400;87;6091;87;87;6091;31;13168
5797072;5810400;-1;-1;-1;-1;-1;30;12885
5797073;5810400;85;5970;83;72;23286;30;12969
5797074;5810400;88;6134;84;70;23183;30;12595
5797075;5810400;91;6342;88;73;23391;32;12928
5797076;5810400;137;9570;130;106;12918;28;12040
5797077;5810400;136;9511;130;108;13044;31;12473
5797078;5810400;-1;-1;-1;-1;-1;33;13010
5797079;5810400;-1;-1;-1;-1;-1;30;12846
5797080;5810400;169;11810;132;112;13330;27;12057
5797081;5810400;169;11795;132;112;13315;31;12677
5797082;5810400;185;12968;148;130;13411;29;12703
5798974;5810400;35;2440;35;35;2440;-1;-1
5798975;5810400;90;6335;90;90;6335;35;15225
5798976;5810400;90;6330;90;90;6330;38;15112
5798977;5810400;-1;-1;-1;-1;-1;32;13208
5798978;5810400;-1;-1;-1;-1;-1;30;12679
5798979;5810400;91;6337;85;70;22933;30;13037
5798980;5810400;89;6227;86;70;22933;30;12413
5798981;5810400;96;6727;90;74;23205;32;12801
5798982;5810400;140;9777;125;104;12750;27;11901
5798983;5810400;141;9873;120;102;12624;29;11841
5798984;5810400;149;10400;120;102;12617;31;11832
5798985;5810400;164;11463;132;107;12982;28;11724
5798986;5810400;162;11324;127;105;12844;28;11990
5798987;5810400;165;11580;132;109;13100;30;12450
5798988;5810400;179;12552;146;124;12994;28;12179
5800879;5810400;28;1944;28;28;1944;11;1982
5800880;5810400;32;2223;32;32;2223;-1;-1
5800881;5810400;93;6539;93;93;6539;19;7631
5800882;5810400;127;8905;119;103;9617;31;12430
5800883;5810400;128;8940;122;104;9652;30;12207
5800884;5810400;-1;-1;-1;-1;-1;30;12496
5800885;5810400;92;6460;86;68;22775;29;12199
5800886;5810400;94;6604;89;70;22919;31;12156
5800887;5810400;98;6877;91;74;23192;33;12790
5800888;5810400;149;10441;113;92;11961;27;11017
5800889;5810400;143;10034;118;98;12365;27;11606
5800890;5810400;146;10224;118;99;12441;29;11518
5800891;5810400;159;11132;126;102;12651;26;11395
5800892;5810400;158;11068;120;101;12588;28;11833
5800893;5810400;160;11230;126;104;12750;29;11999
5800894;5810400;178;12461;145;123;12904;28;12185
5800895;5810400;175;12221;141;118;12420;28;12085
5802783;5810400;26;1845;26;26;1845;9;1299
5802784;5810400;25;1727;25;25;1727;13;2146
5802785;5810400;29;2005;29;29;2005;-1;-1
5802786;5810400;-1;-1;-1;-1;-1;19;7383
5802787;5810400;126;8804;119;102;9516;29;12241
5802788;5810400;123;8606;112;88;23581;29;11994
5802789;5810400;123;8607;112;88;23582;31;12737
5802790;5810400;96;6709;90;72;23025;30;12259
5802791;5810400;96;6728;90;71;22382;29;11801
5802792;5810400;101;7104;92;74;22619;29;11986
5802793;5810400;146;10213;113;89;11732;26;10958
5802794;5810400;151;10548;113;94;12068;26;11243
5802795;5810400;151;10549;113;94;12069;26;11244
5802796;5810400;152;10663;118;95;12182;27;11440
5802797;5810400;157;11024;120;101;12543;28;11759
