from_id;to_id;walk_t;walk_d;pt_m_tt;pt_m_t;pt_m_d;car_m_t;car_m_d
5785640;5810413;107;7455;83;66;7728;11;4161
5785641;5810413;61;4292;61;61;4292;11;4478
5785642;5810413;62;4372;62;62;4372;14;4662
5785643;5810413;67;4666;67;67;4666;28;11609
5787544;5810413;100;6966;77;59;7239;19;5160
5787545;5810413;100;7035;77;60;7308;19;5150
5787546;5810413;-1;-1;-1;-1;-1;11;3688
5787547;5810413;60;4179;60;60;4179;10;4079
5787548;5810413;56;3954;56;56;3954;9;4201
5787549;5810413;58;4088;58;58;4088;11;4444
5787550;5810413;158;11051;152;141;11559;25;11408
5789447;5810413;63;4385;34;20;4471;15;4769
5789448;5810413;63;4383;39;20;4493;14;4501
5789449;5810413;-1;-1;-1;-1;-1;14;4744
5789450;5810413;-1;-1;-1;-1;-1;18;5063
5789451;5810413;-1;-1;-1;-1;-1;13;3696
5789452;5810413;52;3615;52;52;3615;10;3587
5789453;5810413;52;3651;52;52;3651;9;3764
5789454;5810413;53;3738;53;53;3738;9;4028
5789455;5810413;56;3915;56;56;3915;10;4249
5789456;5810413;156;10891;148;138;11399;23;11318
5791353;5810413;68;4746;43;25;4832;14;5058
5791354;5810413;64;4514;39;22;4600;13;4755
5791355;5810413;58;4036;34;17;4261;12;4316
5791356;5810413;59;4098;38;22;4609;14;4469
5791357;5810413;-1;-1;-1;-1;-1;18;5055
5791358;5810413;-1;-1;-1;-1;-1;10;3082
5791359;5810413;47;3306;47;47;3306;8;3405
5791360;5810413;48;3361;48;48;3361;10;3773
5791361;5810413;53;3715;53;53;3715;12;4127
5791362;5810413;58;4025;58;58;4025;13;4436
5791363;5810413;156;10886;148;138;11394;25;11214
5793258;5810413;73;5131;51;31;5217;15;5404
5793259;5810413;69;4831;47;26;4918;16;5269
5793260;5810413;69;4865;47;27;4951;15;4682
5793261;5810413;56;3909;38;21;4397;12;4191
5793262;5810413;54;3804;38;21;4394;14;4290
5793263;5810413;-1;-1;-1;-1;-1;17;4196
5793264;5810413;-1;-1;-1;-1;-1;10;3026
5793265;5810413;44;3092;44;44;3092;9;3359
5793266;5810413;44;3100;44;44;3100;12;3556
5793267;5810413;-1;-1;-1;-1;-1;15;4351
5793268;5810413;-1;-1;-1;-1;-1;15;4577
5793269;5810413;-1;-1;-1;-1;-1;12;3389
5793270;5810413;151;10572;146;134;11079;24;10669
5795164;5810413;74;5206;51;32;5293;16;5552
5795165;5810413;76;5288;51;33;5374;14;4219
5795166;5810413;-1;-1;-1;-1;-1;14;4069
5795167;5810413;51;3583;37;21;3695;12;3689
5795168;5810413;51;3584;37;21;3696;13;3777
5795169;5810413;52;3665;40;23;3790;15;4000
5795170;5810413;40;2781;40;40;2781;8;2765
5795171;5810413;39;2700;39;39;2700;9;3066
5795172;5810413;43;3035;43;43;3035;11;3508
5795173;5810413;-1;-1;-1;-1;-1;12;3599
5795174;5810413;44;3073;44;44;3073;10;3233
5795175;5810413;43;3010;43;43;3010;12;3370
5795176;5810413;152;10607;147;134;11115;17;7284
5797069;5810413;103;7183;77;60;7269;23;13049
5797070;5810413;77;5404;60;34;5490;17;5831
5797071;5810413;79;5521;64;36;5607;12;4121
5797072;5810413;-1;-1;-1;-1;-1;12;3838
5797073;5810413;48;3390;34;19;3501;12;3923
5797074;5810413;47;3272;34;17;3398;11;3549
5797075;5810413;50;3481;34;20;3606;13;3881
5797076;5810413;35;2465;35;35;2465;9;2712
5797077;5810413;37;2591;37;37;2591;12;3144
5797078;5810413;-1;-1;-1;-1;-1;14;3681
5797079;5810413;-1;-1;-1;-1;-1;11;3518
5797080;5810413;41;2876;41;41;2876;8;2729
5797081;5810413;41;2862;41;41;2862;12;3349
5797082;5810413;101;7038;97;83;7546;16;7271
5798974;5810413;102;7122;77;59;7208;-1;-1
5798975;5810413;82;5765;64;40;5851;17;6178
5798976;5810413;82;5760;64;40;5846;19;6066
5798977;5810413;-1;-1;-1;-1;-1;13;4161
5798978;5810413;-1;-1;-1;-1;-1;11;3633
5798979;5810413;43;3029;33;17;3148;12;3991
5798980;5810413;43;3028;33;17;3148;12;3367
5798981;5810413;47;3300;36;21;3420;14;3755
5798982;5810413;33;2296;33;33;2296;8;2572
5798983;5810413;31;2171;31;31;2171;10;2512
5798984;5810413;31;2163;31;31;2163;12;2504
5798985;5810413;36;2529;36;36;2529;8;2396
5798986;5810413;34;2391;34;34;2391;9;2662
5798987;5810413;38;2646;38;38;2646;11;3121
5798988;5810413;95;6622;89;77;7129;16;6746
5800879;5810413;103;7184;74;60;7270;20;9192
5800880;5810413;106;7401;76;63;7487;-1;-1
5800881;5810413;85;5969;68;43;6056;24;12818
5800882;5810413;45;3117;44;39;4095;13;3384
5800883;5810413;45;3152;45;39;4130;12;3161
5800884;5810413;-1;-1;-1;-1;-1;11;3449
5800885;5810413;40;2809;32;15;2990;10;3152
5800886;5810413;38;2661;31;17;3134;12;3110
5800887;5810413;40;2782;34;21;3407;14;3743
5800888;5810413;21;1460;21;21;1460;8;1865
5800889;5810413;27;1911;27;27;1911;8;2277
5800890;5810413;28;1988;28;28;1988;10;2190
5800891;5810413;31;2198;31;31;2198;7;2067
5800892;5810413;30;2134;30;30;2134;8;2504
5800893;5810413;33;2296;33;33;2296;10;2670
5800894;5810413;93;6531;89;76;7039;16;6753
5800895;5810413;90;6291;86;73;6799;16;6653
5802783;5810413;109;7643;89;66;7729;20;9125
5802784;5810413;107;7462;86;64;7548;22;9356
5802785;5810413;110;7680;89;67;7766;-1;-1
5802786;5810413;-1;-1;-1;-1;-1;24;12570
5802787;5810413;43;3016;43;37;3994;10;3195
5802788;5810413;40;2818;40;35;3796;10;2948
5802789;5810413;40;2819;40;35;3797;12;3690
5802790;5810413;41;2888;32;19;3240;11;3213
5802791;5810413;34;2389;30;17;2597;10;2754
5802792;5810413;38;2626;33;21;2834;11;2939
5802793;5810413;18;1232;18;18;1232;8;1806
5802794;5810413;23;1615;23;23;1615;7;1915
5802795;5810413;23;1615;23;23;1615;7;1915
5802796;5810413;25;1729;25;25;1729;8;2112
5802797;5810413;30;2090;30;30;2090;9;2430
5802798;5810413;32;2265;32;32;2265;11;2163
5802799;5810413;85;5975;82;68;6482;14;6066
5802800;5810413;84;5895;80;67;6403;15;6234
5802801;5810413;89;6264;86;72;6771;16;6593
5804689;5810413;121;8455;95;70;28655;20;9112
5804690;5810413;111;7742;87;68;28485;21;9103
5804691;5810413;128;8938;95;75;29009;18;7893
5804692;5810413;130;9130;101;78;29201;20;7859
5804693;5810413;43;3017;43;37;3995;12;3259
5804694;5810413;37;2578;36;31;3556;10;2864
5804695;5810413;36;2505;35;30;3482;12;3777
5804696;5810413;32;2228;29;15;2462;9;2405
5804697;5810413;31;2160;28;14;2368;10;2495
5804698;5810413;38;2688;33;22;2896;11;3040
5804699;5810413;14;1010;14;14;1010;7;1523
5804700;5810413;14;969;14;14;969;7;1463
5804701;5810413;18;1266;18;18;1266;8;1675
5804702;5810413;19;1329;19;19;1329;8;1494
5804703;5810413;21;1479;21;21;1479;7;1669
5804704;5810413;23;1627;23;23;1627;10;2089
5804705;5810413;82;5731;77;65;6238;14;5880
5804706;5810413;81;5692;77;64;6199;17;6169
5804707;5810413;-1;-1;-1;-1;-1;19;6682
5806593;5810413;121;8463;95;70;28670;21;9626
5806594;5810413;116;8101;93;65;28301;20;8861
5806595;5810413;115;8020;90;65;28267;19;8743
