from_id;to_id;walk_t;walk_d;pt_m_tt;pt_m_t;pt_m_d;car_m_t;car_m_d
5785640;5793258;61;4259;61;61;4259;21;9069
5785641;5793258;64;4466;64;64;4466;21;9386
5785642;5793258;65;4583;65;65;4583;23;9570
5785643;5793258;70;4876;70;70;4876;37;16236
5787544;5793258;54;3770;54;54;3770;14;2263
5787545;5793258;55;3839;55;55;3839;14;2253
5787546;5793258;-1;-1;-1;-1;-1;21;8596
5787547;5793258;71;4965;71;71;4965;20;8987
5787548;5793258;67;4691;67;67;4691;18;9109
5787549;5793258;71;4984;71;71;4984;20;9352
5787550;5793258;156;10941;156;156;10941;34;16034
5789447;5793258;20;1406;20;20;1406;7;1106
5789448;5793258;20;1427;20;20;1427;8;1421
5789449;5793258;-1;-1;-1;-1;-1;9;1847
5789450;5793258;-1;-1;-1;-1;-1;12;2166
5789451;5793258;-1;-1;-1;-1;-1;22;8604
5789452;5793258;79;5536;79;79;5536;20;8496
5789453;5793258;74;5170;74;74;5170;18;8672
5789454;5793258;71;4973;71;71;4973;18;8936
5789455;5793258;80;5603;80;80;5603;20;9157
5789456;5793258;154;10781;154;154;10781;32;15945
5791353;5793258;25;1767;25;25;1767;5;650
5791354;5793258;22;1535;22;22;1535;6;928
5791355;5793258;17;1191;17;17;1191;7;1419
5791356;5793258;22;1539;22;22;1539;10;2044
5791357;5793258;-1;-1;-1;-1;-1;13;2158
5791358;5793258;-1;-1;-1;-1;-1;20;7990
5791359;5793258;79;5518;79;79;5518;18;8313
5791360;5793258;76;5326;76;76;5326;20;8681
5791361;5793258;77;5403;77;77;5403;21;9036
5791362;5793258;82;5714;82;82;5714;23;9344
5791363;5793258;154;10776;154;154;10776;34;15840
5793258;5793258;0;0;0;0;0;0;0
5793259;5793258;26;1852;26;26;1852;7;689
5793260;5793258;27;1886;27;27;1886;9;1715
5793261;5793258;21;1474;21;21;1474;7;1496
5793262;5793258;22;1561;22;22;1561;10;1921
5793263;5793258;-1;-1;-1;-1;-1;14;3027
5793264;5793258;-1;-1;-1;-1;-1;20;7934
5793265;5793258;81;5691;81;81;5691;18;8267
5793266;5793258;82;5750;82;82;5750;21;8464
5793267;5793258;-1;-1;-1;-1;-1;25;9259
5793268;5793258;-1;-1;-1;-1;-1;25;9485
5793269;5793258;-1;-1;-1;-1;-1;22;8297
5793270;5793258;167;11656;164;153;15347;33;15295
5795164;5793258;32;2227;32;32;2227;6;459
5795165;5793258;33;2309;33;33;2309;13;3813
5795166;5793258;-1;-1;-1;-1;-1;13;3662
5795167;5793258;26;1854;26;26;1854;8;2046
5795168;5793258;25;1751;25;25;1751;10;2608
5795169;5793258;37;2574;37;37;2574;12;2831
5795170;5793258;88;6194;87;79;8419;18;7673
5795171;5793258;84;5890;84;78;8338;18;7974
5795172;5793258;85;5929;85;85;5929;21;8416
5795173;5793258;-1;-1;-1;-1;-1;22;8507
5795174;5793258;115;8054;102;83;8711;20;8141
5795175;5793258;114;7991;100;82;8648;21;8278
5795176;5793258;167;11692;165;154;15383;26;11911
5797069;5793258;54;3801;54;54;3801;32;17675
5797070;5793258;35;2425;35;35;2425;7;738
5797071;5793258;36;2542;36;36;2542;12;3715
5797072;5793258;-1;-1;-1;-1;-1;11;3431
5797073;5793258;33;2286;32;30;2925;11;3516
5797074;5793258;31;2182;31;31;2182;9;2379
5797075;5793258;34;2390;34;34;2390;11;2712
5797076;5793258;90;6296;88;74;8102;18;7620
5797077;5793258;89;6237;88;76;8229;22;8052
5797078;5793258;-1;-1;-1;-1;-1;23;8590
5797079;5793258;-1;-1;-1;-1;-1;21;8426
5797080;5793258;112;7857;99;80;8514;17;7637
5797081;5793258;112;7843;99;80;8500;21;8257
5797082;5793258;161;11287;122;103;11814;25;11897
5798974;5793258;53;3739;53;53;3739;-1;-1
5798975;5793258;40;2786;40;40;2786;7;1085
5798976;5793258;40;2781;40;40;2781;9;972
5798977;5793258;-1;-1;-1;-1;-1;12;3755
5798978;5793258;-1;-1;-1;-1;-1;11;3226
5798979;5793258;34;2385;34;30;3161;11;3584
5798980;5793258;32;2275;32;32;2275;10;2743
5798981;5793258;40;2775;40;40;2775;12;3131
5798982;5793258;93;6503;86;72;7934;17;7480
5798983;5793258;94;6599;85;70;7809;20;7421
5798984;5793258;102;7126;87;70;7801;22;7412
5798985;5793258;107;7510;97;75;8167;18;7304
5798986;5793258;105;7372;93;73;8028;18;7570
5798987;5793258;109;7628;98;77;8284;21;8030
5798988;5793258;155;10871;114;97;11397;25;11373
5800879;5793258;54;3802;54;54;3802;29;13818
5800880;5793258;57;4019;57;57;4019;-1;-1
5800881;5793258;43;2990;43;43;2990;33;17445
5800882;5793258;71;4953;69;56;6343;16;5251
5800883;5793258;71;4988;70;57;6378;15;5028
