from_id;to_id;walk_t;walk_d;pt_m_tt;pt_m_t;pt_m_d;car_m_t;car_m_d
5785640;5810411;109;7656;90;74;8243;12;4183
5785641;5810411;64;4493;64;64;4493;12;4501
5785642;5810411;65;4573;65;65;4573;15;4685
5785643;5810411;70;4867;70;70;4867;29;12126
5787544;5810411;102;7167;85;67;7753;21;5474
5787545;5810411;103;7236;85;68;7823;20;5464
5787546;5810411;-1;-1;-1;-1;-1;13;3711
5787547;5810411;63;4380;63;63;4380;11;4102
5787548;5810411;59;4155;59;59;4155;10;4223
5787549;5810411;61;4289;61;61;4289;12;4467
5787550;5810411;168;11759;161;148;12074;27;11925
5789447;5810411;70;4900;42;27;4986;16;5082
5789448;5810411;70;4898;46;28;5008;16;4815
5789449;5810411;-1;-1;-1;-1;-1;16;5058
5789450;5810411;-1;-1;-1;-1;-1;19;5377
5789451;5810411;-1;-1;-1;-1;-1;14;3718
5789452;5810411;55;3816;55;55;3816;11;3610
5789453;5810411;55;3852;55;55;3852;10;3787
5789454;5810411;56;3939;56;56;3939;10;4051
5789455;5810411;59;4116;59;59;4116;12;4272
5789456;5810411;166;11599;157;146;11914;25;11835
5791353;5810411;75;5261;51;32;5347;15;5372
5791354;5810411;72;5029;46;29;5115;15;5069
5791355;5810411;65;4551;42;24;4776;14;4629
5791356;5810411;66;4613;45;29;5124;16;4782
5791357;5810411;-1;-1;-1;-1;-1;20;5369
5791358;5810411;-1;-1;-1;-1;-1;12;3105
5791359;5810411;50;3507;50;50;3507;10;3428
5791360;5810411;51;3562;51;51;3562;11;3796
5791361;5810411;56;3915;56;56;3915;13;4150
5791362;5810411;60;4226;60;60;4226;14;4459
5791363;5810411;166;11594;157;146;11909;27;11731
5793258;5810411;81;5646;59;38;5732;16;5718
5793259;5810411;76;5346;55;34;5433;17;5582
5793260;5810411;77;5380;55;34;5466;17;4995
5793261;5810411;63;4424;45;28;4912;13;4505
5793262;5810411;62;4319;45;28;4909;15;4604
5793263;5810411;-1;-1;-1;-1;-1;18;4510
5793264;5810411;-1;-1;-1;-1;-1;11;3049
5793265;5810411;47;3292;47;47;3292;10;3381
5793266;5810411;47;3301;47;47;3301;13;3578
5793267;5810411;-1;-1;-1;-1;-1;16;4373
5793268;5810411;-1;-1;-1;-1;-1;16;4600
5793269;5810411;-1;-1;-1;-1;-1;13;3412
5793270;5810411;161;11279;155;141;11594;25;11186
5795164;5810411;82;5721;59;39;5808;17;5866
5795165;5810411;83;5803;59;40;5889;15;4533
5795166;5810411;-1;-1;-1;-1;-1;15;4382
5795167;5810411;59;4098;45;29;4210;13;4003
5795168;5810411;59;4099;45;29;4211;14;4091
