from_id;to_id;walk_t;walk_d;pt_m_tt;pt_m_t;pt_m_d;car_m_t;car_m_d
5785640;5810464;273;19133;165;137;38166;45;22231
5785641;5810464;276;19340;170;140;38372;45;22548
5785642;5810464;278;19457;170;142;38489;48;22732
5785643;5810464;282;19750;180;146;38783;36;15303
5787544;5810464;266;18644;160;139;40905;53;22948
5787545;5810464;267;18713;160;140;40974;52;22938
5787546;5810464;-1;-1;-1;-1;-1;45;21758
5787547;5810464;283;19839;173;147;38871;44;22149
5787548;5810464;280;19565;167;143;38598;43;22270
5787549;5810464;284;19858;173;147;38891;45;22514
5787550;5810464;210;14691;190;163;16518;33;15102
5789447;5810464;276;19315;113;97;36296;48;22557
5789448;5810464;280;19594;118;97;36317;48;22289
5789449;5810464;-1;-1;-1;-1;-1;48;22532
5789450;5810464;-1;-1;-1;-1;-1;51;22851
5789451;5810464;-1;-1;-1;-1;-1;46;21765
5789452;5810464;292;20410;163;142;35465;44;21657
5789453;5810464;286;20044;163;143;35501;43;21834
5789454;5810464;284;19847;167;147;38880;43;22098
5789455;5810464;293;20477;167;147;35764;44;22319
5789456;5810464;208;14531;187;161;16358;31;15012
5791353;5810464;284;19861;123;102;36656;47;22846
5791354;5810464;280;19629;118;99;36425;47;22543
5791355;5810464;281;19658;113;94;36085;46;22104
5791356;5810464;286;20006;118;99;36433;48;22257
5791357;5810464;-1;-1;-1;-1;-1;52;22843
5791358;5810464;-1;-1;-1;-1;-1;44;21152
5791359;5810464;291;20392;162;138;35156;42;21475
5791360;5810464;289;20200;162;139;35211;44;21843
5791361;5810464;290;20277;167;144;35564;46;22197
5791362;5810464;294;20588;173;148;35875;47;22506
5791363;5810464;208;14526;187;161;16353;33;14907
5793258;5810464;289;20246;131;107;37042;48;23192
5793259;5810464;285;19946;127;103;36742;49;23057
5793260;5810464;285;19980;127;104;36776;48;22470
5793261;5810464;285;19941;118;97;36221;45;21979
5793262;5810464;286;20047;118;97;36219;47;22078
5793263;5810464;-1;-1;-1;-1;-1;50;21984
5793264;5810464;-1;-1;-1;-1;-1;44;21096
5793265;5810464;294;20565;160;142;38084;43;21428
5793266;5810464;295;20624;160;142;38092;46;21625
5793267;5810464;-1;-1;-1;-1;-1;49;22420
5793268;5810464;-1;-1;-1;-1;-1;49;22647
5793269;5810464;-1;-1;-1;-1;-1;46;21459
5793270;5810464;212;14854;190;165;16681;33;15119
5795164;5810464;290;20321;131;109;37117;49;23340
5795165;5810464;291;20403;131;110;37199;47;22007
5795166;5810464;-1;-1;-1;-1;-1;47;21857
5795167;5810464;291;20340;118;98;35519;45;21477
5795168;5810464;289;20238;118;98;35520;46;21565
5795169;5810464;297;20814;123;100;35615;48;21788
5795170;5810464;295;20662;160;139;37859;42;20834
5795171;5810464;294;20582;157;138;37779;43;21136
5795172;5810464;297;20803;160;141;38027;45;21578
5795173;5810464;-1;-1;-1;-1;-1;46;21669
5795174;5810464;299;20954;160;141;38065;44;21303
5795175;5810464;298;20891;160;141;38002;46;21440
5795176;5810464;213;14890;191;166;16717;32;15156
5797069;5810464;309;21620;137;119;36264;37;32291
5797070;5810464;293;20519;141;111;37315;50;23619
5797071;5810464;295;20636;145;116;39273;46;21909
5797072;5810464;-1;-1;-1;-1;-1;45;21626
5797073;5810464;293;20515;113;96;35326;45;21711
5797074;5810464;292;20421;113;94;35222;45;21337
5797075;5810464;295;20630;113;97;35430;47;21669
5797076;5810464;291;20346;153;135;37543;42;20782
5797077;5810464;292;20472;157;137;37669;46;21214
5797078;5810464;-1;-1;-1;-1;-1;48;21751
5797079;5810464;-1;-1;-1;-1;-1;45;21588
5797080;5810464;297;20757;160;141;37954;42;20799
5797081;5810464;296;20743;160;141;37940;45;21419
5797082;5810464;211;14754;164;147;34152;32;15143
5798974;5810464;308;21558;121;99;34892;-1;-1
5798975;5810464;298;20880;145;119;39518;50;23966
5798976;5810464;298;20875;145;119;39512;52;23854
5798977;5810464;-1;-1;-1;-1;-1;46;21949
5798978;5810464;-1;-1;-1;-1;-1;45;21421
5798979;5810464;288;20178;113;94;34973;45;21779
5798980;5810464;288;20177;113;94;34973;45;21155
5798981;5810464;292;20449;118;98;35244;47;21543
5798982;5810464;288;20178;152;130;37288;42;20642
5798983;5810464;286;20052;150;129;37163;44;20582
5798984;5810464;286;20045;150;128;37155;46;20574
5798985;5810464;292;20410;153;136;37607;42;20466
5798986;5810464;290;20272;152;132;37383;43;20732
5798987;5810464;293;20528;157;138;37725;45;21191
5798988;5810464;212;14819;157;141;33735;32;15449
5800879;5810464;309;21621;117;92;34395;40;31925
5800880;5810464;312;21838;121;96;34675;-1;-1
5800881;5810464;301;21085;150;122;39722;39;32060
5800882;5810464;290;20266;145;118;37761;46;21172
5800883;5810464;290;20301;145;119;37797;45;20949
5800884;5810464;-1;-1;-1;-1;-1;44;21237
5800885;5810464;285;19958;113;92;34815;44;20940
5800886;5810464;283;19810;113;94;34959;46;20898
5800887;5810464;285;19931;118;98;35231;47;21531
5800888;5810464;277;19389;145;121;36586;42;19758
5800889;5810464;283;19793;147;127;36989;42;20347
5800890;5810464;284;19869;147;128;37066;44;20260
5800891;5810464;287;20079;152;129;37190;41;20137
5800892;5810464;286;20016;150;128;37126;42;20574
5800893;5810464;288;20178;152;130;37288;44;20740
5800894;5810464;210;14732;157;140;33645;32;15456
5800895;5810464;207;14491;152;139;33637;33;15356
5802783;5810464;315;22079;117;90;34297;40;31858
5802784;5810464;313;21899;117;89;34178;42;32089
5802785;5810464;316;22117;117;93;34457;-1;-1
5802786;5810464;-1;-1;-1;-1;-1;38;31812
5802787;5810464;288;20165;145;117;37660;43;20983
5802788;5810464;285;19967;141;111;35621;44;20736
5802789;5810464;285;19968;141;111;35622;46;21478
5802790;5810464;286;20037;113;96;35064;44;21001
5802791;5810464;279;19538;113;94;34422;44;20542
5802792;5810464;283;19775;118;98;34659;44;20727
5802793;5810464;274;19160;138;118;36357;41;19699
5802794;5810464;279;19496;145;123;36693;41;19984
5802795;5810464;279;19497;145;123;36694;41;19985
5802796;5810464;280;19610;147;124;36807;42;20182
5802797;5810464;285;19971;150;127;37082;43;20500
5802798;5810464;288;20146;152;130;37257;45;20233
5802799;5810464;209;14649;150;135;33321;32;15267
5802800;5810464;206;14399;150;133;33241;32;15140
5802801;5810464;203;14234;152;139;33610;33;14939
5804689;5810464;326;22824;117;88;34131;40;31845
5804690;5810464;317;22178;117;86;33961;42;31836
