from_id;to_id;walk_t;walk_d;pt_m_tt;pt_m_t;pt_m_d;car_m_t;car_m_d
5785640;5810410;92;6410;74;58;6605;14;5269
5785641;5810410;78;5477;74;61;6811;14;5586
5785642;5810410;79;5557;74;63;6928;17;5771
5785643;5810410;84;5851;80;67;7222;30;12436
5787544;5810410;85;5921;69;51;6116;17;3938
5787545;5810410;86;5990;69;52;6185;17;3928
5787546;5810410;-1;-1;-1;-1;-1;14;4797
5787547;5810410;77;5364;75;68;7310;13;5188
5787548;5810410;73;5139;72;65;7037;12;5309
5787549;5810410;75;5273;74;69;7330;14;5552
5787550;5810410;164;11504;146;133;11503;27;12235
5789447;5810410;45;3154;26;12;3348;12;3546
5789448;5810410;45;3152;30;12;3370;12;3279
5789449;5810410;-1;-1;-1;-1;-1;12;3522
5789450;5810410;-1;-1;-1;-1;-1;16;3840
5789451;5810410;-1;-1;-1;-1;-1;16;4804
5789452;5810410;69;4800;69;69;4800;13;4696
5789453;5810410;69;4836;69;69;4836;12;4873
5789454;5810410;70;4923;70;70;4923;12;5137
5789455;5810410;73;5100;72;67;5229;13;5358
5789456;5810410;162;11344;143;130;11344;25;12145
5791353;5810410;50;3514;34;17;3709;12;3836
5791354;5810410;47;3282;30;14;3477;11;3533
5791355;5810410;40;2805;26;9;3138;10;3093
5791356;5810410;41;2866;29;14;3486;12;3246
5791357;5810410;-1;-1;-1;-1;-1;16;3832
5791358;5810410;-1;-1;-1;-1;-1;13;4190
5791359;5810410;64;4491;63;59;4620;11;4514
5791360;5810410;65;4546;64;60;4675;13;4882
5791361;5810410;70;4899;70;70;4899;15;5236
5791362;5810410;74;5210;74;69;5340;16;5544
5791363;5810410;162;11339;143;130;11338;27;12041
5793258;5810410;56;3899;43;23;4094;12;4182
5793259;5810410;51;3600;37;18;3795;14;4046
5793260;5810410;52;3633;37;19;3828;13;3459
5793261;5810410;38;2678;28;13;3274;10;2969
5793262;5810410;37;2573;28;13;3272;12;3068
5793263;5810410;-1;-1;-1;-1;-1;15;2974
5793264;5810410;-1;-1;-1;-1;-1;13;4135
5793265;5810410;61;4276;61;56;4406;12;4467
5793266;5810410;61;4285;61;56;4415;15;4664
5793267;5810410;-1;-1;-1;-1;-1;18;5459
5793268;5810410;-1;-1;-1;-1;-1;18;5685
5793269;5810410;-1;-1;-1;-1;-1;15;4498
5793270;5810410;157;11024;143;126;11024;26;11495
5795164;5810410;57;3975;43;24;4170;14;4330
5795165;5810410;58;4056;43;25;4251;12;2997
5795166;5810410;-1;-1;-1;-1;-1;12;2846
5795167;5810410;34;2352;27;13;2572;10;2467
5795168;5810410;34;2353;27;13;2573;10;2555
5795169;5810410;35;2433;29;15;2667;13;2777
5795170;5810410;57;3966;56;51;4095;11;3873
5795171;5810410;56;3885;56;56;3885;12;4174
5795172;5810410;60;4220;60;55;4349;14;4617
