from_id;to_id;walk_t;walk_d;pt_m_tt;pt_m_t;pt_m_d;car_m_t;car_m_d
5785640;5810408;-1;-1;-1;-1;-1;15;5823
5785641;5810408;-1;-1;-1;-1;-1;15;6140
5785642;5810408;-1;-1;-1;-1;-1;17;6324
5785643;5810408;-1;-1;-1;-1;-1;30;12989
5787544;5810408;-1;-1;-1;-1;-1;18;4593
5787545;5810408;-1;-1;-1;-1;-1;18;4583
5787546;5810408;-1;-1;-1;-1;-1;15;5350
5787547;5810408;-1;-1;-1;-1;-1;13;5741
5787548;5810408;-1;-1;-1;-1;-1;12;5863
5787549;5810408;-1;-1;-1;-1;-1;14;6106
5787550;5810408;-1;-1;-1;-1;-1;28;12788
5789447;5810408;-1;-1;-1;-1;-1;13;4202
5789448;5810408;-1;-1;-1;-1;-1;13;3934
5789449;5810408;-1;-1;-1;-1;-1;13;4177
5789450;5810408;-1;-1;-1;-1;-1;17;4496
5789451;5810408;-1;-1;-1;-1;-1;16;5358
5789452;5810408;-1;-1;-1;-1;-1;14;5249
5789453;5810408;-1;-1;-1;-1;-1;12;5426
5789454;5810408;-1;-1;-1;-1;-1;12;5690
5789455;5810408;-1;-1;-1;-1;-1;14;5911
5789456;5810408;-1;-1;-1;-1;-1;26;12698
5791353;5810408;-1;-1;-1;-1;-1;13;4491
5791354;5810408;-1;-1;-1;-1;-1;12;4188
5791355;5810408;-1;-1;-1;-1;-1;11;3748
5791356;5810408;-1;-1;-1;-1;-1;13;3901
5791357;5810408;-1;-1;-1;-1;-1;17;4488
5791358;5810408;-1;-1;-1;-1;-1;14;4744
5791359;5810408;-1;-1;-1;-1;-1;12;5067
5791360;5810408;-1;-1;-1;-1;-1;14;5435
5791361;5810408;-1;-1;-1;-1;-1;15;5789
5791362;5810408;-1;-1;-1;-1;-1;16;6098
5791363;5810408;-1;-1;-1;-1;-1;27;12594
5793258;5810408;-1;-1;-1;-1;-1;13;4837
5793259;5810408;-1;-1;-1;-1;-1;15;4702
5793260;5810408;-1;-1;-1;-1;-1;14;4114
5793261;5810408;-1;-1;-1;-1;-1;11;3624
5793262;5810408;-1;-1;-1;-1;-1;13;3723
5793263;5810408;-1;-1;-1;-1;-1;16;3629
5793264;5810408;-1;-1;-1;-1;-1;14;4688
5793265;5810408;-1;-1;-1;-1;-1;12;5021
5793266;5810408;-1;-1;-1;-1;-1;15;5218
5793267;5810408;-1;-1;-1;-1;-1;18;6013
5793268;5810408;-1;-1;-1;-1;-1;18;6239
5793269;5810408;-1;-1;-1;-1;-1;16;5051
5793270;5810408;-1;-1;-1;-1;-1;26;12049
5795164;5810408;-1;-1;-1;-1;-1;15;4985
5795165;5810408;-1;-1;-1;-1;-1;13;3652
5795166;5810408;-1;-1;-1;-1;-1;13;3502
5795167;5810408;-1;-1;-1;-1;-1;10;3122
5795168;5810408;-1;-1;-1;-1;-1;11;3210
5795169;5810408;-1;-1;-1;-1;-1;14;3433
5795170;5810408;-1;-1;-1;-1;-1;11;4427
5795171;5810408;-1;-1;-1;-1;-1;12;4728
5795172;5810408;-1;-1;-1;-1;-1;15;5170
5795173;5810408;-1;-1;-1;-1;-1;16;5261
5795174;5810408;-1;-1;-1;-1;-1;14;4895
5795175;5810408;-1;-1;-1;-1;-1;15;5032
5795176;5810408;-1;-1;-1;-1;-1;19;8664
5797069;5810408;-1;-1;-1;-1;-1;25;14429
5797070;5810408;-1;-1;-1;-1;-1;15;5264
5797071;5810408;-1;-1;-1;-1;-1;11;3554
5797072;5810408;-1;-1;-1;-1;-1;11;3271
5797073;5810408;-1;-1;-1;-1;-1;10;3356
5797074;5810408;-1;-1;-1;-1;-1;10;2981
5797075;5810408;-1;-1;-1;-1;-1;12;3314
5797076;5810408;-1;-1;-1;-1;-1;12;4374
5797077;5810408;-1;-1;-1;-1;-1;15;4806
5797078;5810408;-1;-1;-1;-1;-1;17;5343
5797079;5810408;-1;-1;-1;-1;-1;15;5180
5797080;5810408;-1;-1;-1;-1;-1;11;4391
5797081;5810408;-1;-1;-1;-1;-1;15;5011
5797082;5810408;-1;-1;-1;-1;-1;19;8651
5798974;5810408;-1;-1;-1;-1;-1;-1;-1
5798975;5810408;-1;-1;-1;-1;-1;16;5611
5798976;5810408;-1;-1;-1;-1;-1;18;5499
5798977;5810408;-1;-1;-1;-1;-1;12;3594
5798978;5810408;-1;-1;-1;-1;-1;10;3066
5798979;5810408;-1;-1;-1;-1;-1;11;3424
5798980;5810408;-1;-1;-1;-1;-1;10;2800
5798981;5810408;-1;-1;-1;-1;-1;13;3187
5798982;5810408;-1;-1;-1;-1;-1;11;4234
5798983;5810408;-1;-1;-1;-1;-1;14;4174
5798984;5810408;-1;-1;-1;-1;-1;16;4166
5798985;5810408;-1;-1;-1;-1;-1;12;4058
5798986;5810408;-1;-1;-1;-1;-1;12;4324
5798987;5810408;-1;-1;-1;-1;-1;15;4783
5798988;5810408;-1;-1;-1;-1;-1;18;8127
5800879;5810408;-1;-1;-1;-1;-1;23;10572
5800880;5810408;-1;-1;-1;-1;-1;-1;-1
5800881;5810408;-1;-1;-1;-1;-1;27;14198
5800882;5810408;-1;-1;-1;-1;-1;11;2817
5800883;5810408;-1;-1;-1;-1;-1;11;2594
5800884;5810408;-1;-1;-1;-1;-1;10;2882
5800885;5810408;-1;-1;-1;-1;-1;9;2585
5800886;5810408;-1;-1;-1;-1;-1;11;2543
5800887;5810408;-1;-1;-1;-1;-1;13;3176
5800888;5810408;-1;-1;-1;-1;-1;11;3350
5800889;5810408;-1;-1;-1;-1;-1;12;3939
5800890;5810408;-1;-1;-1;-1;-1;14;3852
5800891;5810408;-1;-1;-1;-1;-1;10;3729
5800892;5810408;-1;-1;-1;-1;-1;12;4166
5800893;5810408;-1;-1;-1;-1;-1;14;4332
5800894;5810408;-1;-1;-1;-1;-1;19;8133
5800895;5810408;-1;-1;-1;-1;-1;19;8033
5802783;5810408;-1;-1;-1;-1;-1;23;10505
5802784;5810408;-1;-1;-1;-1;-1;25;10736
5802785;5810408;-1;-1;-1;-1;-1;-1;-1
5802786;5810408;-1;-1;-1;-1;-1;26;13951
5802787;5810408;-1;-1;-1;-1;-1;9;2628
5802788;5810408;-1;-1;-1;-1;-1;9;2381
5802789;5810408;-1;-1;-1;-1;-1;11;3123
5802790;5810408;-1;-1;-1;-1;-1;10;2646
5802791;5810408;-1;-1;-1;-1;-1;9;2187
5802792;5810408;-1;-1;-1;-1;-1;10;2372
5802793;5810408;-1;-1;-1;-1;-1;11;3291
5802794;5810408;-1;-1;-1;-1;-1;10;3577
5802795;5810408;-1;-1;-1;-1;-1;10;3577
5802796;5810408;-1;-1;-1;-1;-1;11;3774
5802797;5810408;-1;-1;-1;-1;-1;12;4092
5802798;5810408;-1;-1;-1;-1;-1;14;3825
5802799;5810408;-1;-1;-1;-1;-1;17;7446
5802800;5810408;-1;-1;-1;-1;-1;18;7614
5802801;5810408;-1;-1;-1;-1;-1;19;7973
5804689;5810408;-1;-1;-1;-1;-1;23;10492
5804690;5810408;-1;-1;-1;-1;-1;24;10483
5804691;5810408;-1;-1;-1;-1;-1;21;9273
5804692;5810408;-1;-1;-1;-1;-1;23;9239
5804693;5810408;-1;-1;-1;-1;-1;11;2691
5804694;5810408;-1;-1;-1;-1;-1;9;2297
5804695;5810408;-1;-1;-1;-1;-1;11;3210
5804696;5810408;-1;-1;-1;-1;-1;8;1838
5804697;5810408;-1;-1;-1;-1;-1;8;1928
5804698;5810408;-1;-1;-1;-1;-1;9;2473
5804699;5810408;-1;-1;-1;-1;-1;10;3008
5804700;5810408;-1;-1;-1;-1;-1;10;2948
5804701;5810408;-1;-1;-1;-1;-1;12;3337
5804702;5810408;-1;-1;-1;-1;-1;11;3156
5804703;5810408;-1;-1;-1;-1;-1;10;3331
5804704;5810408;-1;-1;-1;-1;-1;13;3751
5804705;5810408;-1;-1;-1;-1;-1;17;7261
5804706;5810408;-1;-1;-1;-1;-1;20;7550
5804707;5810408;-1;-1;-1;-1;-1;22;8063
5806593;5810408;-1;-1;-1;-1;-1;24;11006
5806594;5810408;-1;-1;-1;-1;-1;23;10242
5806595;5810408;-1;-1;-1;-1;-1;22;10124
5806596;5810408;-1;-1;-1;-1;-1;24;12796
5806597;5810408;-1;-1;-1;-1;-1;20;8991
5806598;5810408;-1;-1;-1;-1;-1;20;8754
5806599;5810408;-1;-1;-1;-1;-1;8;2048
5806600;5810408;-1;-1;-1;-1;-1;9;1905
5806601;5810408;-1;-1;-1;-1;-1;8;1759
5806602;5810408;-1;-1;-1;-1;-1;8;1957
5806603;5810408;-1;-1;-1;-1;-1;11;2750
5806604;5810408;-1;-1;-1;-1;-1;10;2890
5806605;5810408;-1;-1;-1;-1;-1;11;2753
5806606;5810408;-1;-1;-1;-1;-1;10;2814
5806607;5810408;-1;-1;-1;-1;-1;12;3176
5806608;5810408;-1;-1;-1;-1;-1;13;3521
5806609;5810408;-1;-1;-1;-1;-1;12;3702
5806610;5810408;-1;-1;-1;-1;-1;17;6997
5806611;5810408;-1;-1;-1;-1;-1;20;7402
5806612;5810408;-1;-1;-1;-1;-1;22;7552
5806613;5810408;-1;-1;-1;-1;-1;22;8851
5808496;5810408;-1;-1;-1;-1;-1;25;11063
5808497;5810408;-1;-1;-1;-1;-1;25;11026
5808498;5810408;-1;-1;-1;-1;-1;24;10757
5808499;5810408;-1;-1;-1;-1;-1;21;9699
5808500;5810408;-1;-1;-1;-1;-1;24;13047
5808501;5810408;-1;-1;-1;-1;-1;19;8865
5808502;5810408;-1;-1;-1;-1;-1;21;8740
5808503;5810408;-1;-1;-1;-1;-1;11;2177
5808504;5810408;-1;-1;-1;-1;-1;9;1817
5808505;5810408;-1;-1;-1;-1;-1;7;1475
5808506;5810408;-1;-1;-1;-1;-1;7;1450
5808507;5810408;-1;-1;-1;-1;-1;9;2524
5808508;5810408;-1;-1;-1;-1;-1;9;2286
5808509;5810408;-1;-1;-1;-1;-1;9;2503
5808510;5810408;-1;-1;-1;-1;-1;12;2992
5808511;5810408;-1;-1;-1;-1;-1;15;3394
5808512;5810408;-1;-1;-1;-1;-1;14;3580
5808513;5810408;-1;-1;-1;-1;-1;16;6487
5808514;5810408;-1;-1;-1;-1;-1;16;6747
5808515;5810408;-1;-1;-1;-1;-1;16;7011
5808516;5810408;-1;-1;-1;-1;-1;20;7470
5808517;5810408;-1;-1;-1;-1;-1;23;7656
5808518;5810408;-1;-1;-1;-1;-1;24;9131
5810399;5810408;-1;-1;-1;-1;-1;-1;-1
5810400;5810408;-1;-1;-1;-1;-1;27;11204
5810401;5810408;-1;-1;-1;-1;-1;26;11163
5810402;5810408;-1;-1;-1;-1;-1;22;10210
5810403;5810408;-1;-1;-1;-1;-1;21;9670
5810404;5810408;-1;-1;-1;-1;-1;27;13053
5810405;5810408;-1;-1;-1;-1;-1;21;8907
5810406;5810408;-1;-1;-1;-1;-1;20;8477
5810407;5810408;-1;-1;-1;-1;-1;7;696
5810408;5810408;0;0;0;0;0;0;0
5810409;5810408;-1;-1;-1;-1;-1;6;1215
5810410;5810408;-1;-1;-1;-1;-1;7;1037
5810411;5810408;-1;-1;-1;-1;-1;10;2472
5810412;5810408;-1;-1;-1;-1;-1;8;2167
5810413;5810408;-1;-1;-1;-1;-1;8;2158
5810414;5810408;-1;-1;-1;-1;-1;10;2420
5810415;5810408;-1;-1;-1;-1;-1;14;2737
5810416;5810408;-1;-1;-1;-1;-1;17;6274
5810417;5810408;-1;-1;-1;-1;-1;16;6354
5810418;5810408;-1;-1;-1;-1;-1;17;6793
5810419;5810408;-1;-1;-1;-1;-1;20;7475
5810420;5810408;-1;-1;-1;-1;-1;21;7538
5810421;5810408;-1;-1;-1;-1;-1;23;7645
5810422;5810408;-1;-1;-1;-1;-1;22;8965
5810423;5810408;-1;-1;-1;-1;-1;26;11020
5810457;5810408;-1;-1;-1;-1;-1;37;17637
5810458;5810408;-1;-1;-1;-1;-1;40;20702
5810462;5810408;-1;-1;-1;-1;-1;42;22128
5810463;5810408;-1;-1;-1;-1;-1;42;22200
5810464;5810408;-1;-1;-1;-1;-1;43;22457
5812300;5810408;-1;-1;-1;-1;-1;-1;-1
5812301;5810408;-1;-1;-1;-1;-1;-1;-1
5812302;5810408;-1;-1;-1;-1;-1;30;11425
5812303;5810408;-1;-1;-1;-1;-1;27;11228
5812304;5810408;-1;-1;-1;-1;-1;22;9980
5812305;5810408;-1;-1;-1;-1;-1;23;11913
5812306;5810408;-1;-1;-1;-1;-1;22;8958
5812307;5810408;-1;-1;-1;-1;-1;20;8646
5812308;5810408;-1;-1;-1;-1;-1;19;8080
5812309;5810408;-1;-1;-1;-1;-1;6;629
5812310;5810408;-1;-1;-1;-1;-1;6;549
5812311;5810408;-1;-1;-1;-1;-1;6;708
5812312;5810408;-1;-1;-1;-1;-1;6;1028
5812313;5810408;-1;-1;-1;-1;-1;7;1348
5812314;5810408;-1;-1;-1;-1;-1;7;1693
5812315;5810408;-1;-1;-1;-1;-1;8;2002
5812316;5810408;-1;-1;-1;-1;-1;11;2440
5812317;5810408;-1;-1;-1;-1;-1;13;2642
5812318;5810408;-1;-1;-1;-1;-1;16;6133
5812319;5810408;-1;-1;-1;-1;-1;18;6363
5812320;5810408;-1;-1;-1;-1;-1;16;6856
5812321;5810408;-1;-1;-1;-1;-1;19;7331
5812322;5810408;-1;-1;-1;-1;-1;23;7648
5812323;5810408;-1;-1;-1;-1;-1;26;7901
5812324;5810408;-1;-1;-1;-1;-1;28;11167
5812325;5810408;-1;-1;-1;-1;-1;25;10983
5812353;5810408;-1;-1;-1;-1;-1;36;16160
5812354;5810408;-1;-1;-1;-1;-1;36;16379
5812355;5810408;-1;-1;-1;-1;-1;35;16520
5812356;5810408;-1;-1;-1;-1;-1;37;16938
5812358;5810408;-1;-1;-1;-1;-1;41;17618
5812359;5810408;-1;-1;-1;-1;-1;38;17647
5812360;5810408;-1;-1;-1;-1;-1;40;21108
5812361;5810408;-1;-1;-1;-1;-1;40;21080
5812362;5810408;-1;-1;-1;-1;-1;44;21685
5812363;5810408;-1;-1;-1;-1;-1;41;21615
5812364;5810408;-1;-1;-1;-1;-1;42;21857
5812365;5810408;-1;-1;-1;-1;-1;43;22295
5812366;5810408;-1;-1;-1;-1;-1;45;22715
5814173;5810408;-1;-1;-1;-1;-1;60;29995
5814174;5810408;-1;-1;-1;-1;-1;60;29976
5814175;5810408;-1;-1;-1;-1;-1;60;29513
5814176;5810408;-1;-1;-1;-1;-1;61;29612
5814201;5810408;-1;-1;-1;-1;-1;-1;-1
5814202;5810408;-1;-1;-1;-1;-1;28;11830
5814203;5810408;-1;-1;-1;-1;-1;26;11353
5814204;5810408;-1;-1;-1;-1;-1;23;10013
5814205;5810408;-1;-1;-1;-1;-1;21;9647
5814206;5810408;-1;-1;-1;-1;-1;24;11767
5814207;5810408;-1;-1;-1;-1;-1;19;8591
5814208;5810408;-1;-1;-1;-1;-1;20;8537
5814209;5810408;-1;-1;-1;-1;-1;18;7907
5814210;5810408;-1;-1;-1;-1;-1;20;7899
5814211;5810408;-1;-1;-1;-1;-1;9;792
