from_id;to_id;walk_t;walk_d;pt_m_tt;pt_m_t;pt_m_d;car_m_t;car_m_d
5785640;5810412;107;7503;83;66;7693;11;4061
5785641;5810412;62;4340;62;62;4340;11;4378
5785642;5810412;63;4420;63;63;4420;14;4562
5785643;5810412;67;4713;67;67;4713;28;11822
5787544;5810412;100;7013;77;59;7204;19;5169
5787545;5810412;101;7083;77;60;7273;19;5160
5787546;5810412;-1;-1;-1;-1;-1;11;3588
5787547;5810412;60;4227;60;60;4227;10;3979
5787548;5810412;57;4002;57;57;4002;9;4101
5787549;5810412;59;4136;59;59;4136;11;4344
5787550;5810412;160;11209;153;140;11524;25;11621
5789447;5810412;62;4350;34;19;4437;14;4778
5789448;5810412;62;4348;38;20;4458;14;4511
5789449;5810412;-1;-1;-1;-1;-1;14;4754
5789450;5810412;-1;-1;-1;-1;-1;18;5072
5789451;5810412;-1;-1;-1;-1;-1;12;3596
5789452;5810412;52;3663;52;52;3663;10;3487
5789453;5810412;53;3699;53;53;3699;9;3664
5789454;5810412;54;3786;54;54;3786;9;3928
5789455;5810412;57;3962;57;57;3962;10;4149
5789456;5810412;158;11049;149;138;11364;23;11531
5791353;5810412;67;4711;43;25;4797;14;5068
5791354;5810412;64;4479;38;21;4565;13;4765
5791355;5810412;57;4002;34;16;4226;12;4325
5791356;5810412;58;4063;38;21;4574;14;4478
5791357;5810412;-1;-1;-1;-1;-1;18;5064
5791358;5810412;-1;-1;-1;-1;-1;10;2982
5791359;5810412;48;3354;48;48;3354;8;3305
5791360;5810412;49;3409;49;49;3409;10;3673
5791361;5810412;54;3762;54;54;3762;12;4027
5791362;5810412;58;4073;58;58;4073;13;4336
5791363;5810412;158;11044;149;138;11359;25;11427
5793258;5810412;73;5096;51;30;5182;14;5414
5793259;5810412;69;4797;47;26;4883;16;5278
5793260;5810412;69;4830;47;26;4916;15;4691
5793261;5810412;55;3875;37;20;4362;12;4201
5793262;5810412;54;3770;37;20;4360;14;4300
5793263;5810412;-1;-1;-1;-1;-1;17;4205
5793264;5810412;-1;-1;-1;-1;-1;10;2926
5793265;5810412;45;3139;45;45;3139;9;3259
5793266;5810412;45;3148;45;45;3148;12;3456
5793267;5810412;-1;-1;-1;-1;-1;15;4251
5793268;5810412;-1;-1;-1;-1;-1;15;4477
5793269;5810412;-1;-1;-1;-1;-1;12;3289
5793270;5810412;153;10729;147;133;11044;24;10881
5795164;5810412;74;5172;51;31;5258;15;5562
5795165;5810412;75;5253;51;32;5339;14;4229
5795166;5810412;-1;-1;-1;-1;-1;14;4078
5795167;5810412;51;3548;37;21;3660;11;3699
5795168;5810412;51;3549;37;21;3661;12;3787
5795169;5810412;52;3630;40;22;3755;15;4009
5795170;5810412;40;2829;40;40;2829;8;2665
5795171;5810412;39;2748;39;39;2748;9;2966
5795172;5810412;44;3083;44;44;3083;11;3408
5795173;5810412;-1;-1;-1;-1;-1;12;3499
5795174;5810412;45;3121;45;45;3121;10;3133
5795175;5810412;44;3058;44;44;3058;12;3270
5795176;5810412;154;10765;147;134;11080;17;7497
5797069;5810412;102;7148;77;59;7234;23;13262
5797070;5810412;77;5369;59;34;5455;16;5841
5797071;5810412;78;5486;63;36;5572;12;4131
5797072;5810412;-1;-1;-1;-1;-1;12;3847
5797073;5810412;48;3355;34;18;3467;11;3932
5797074;5810412;46;3238;33;17;3363;11;3558
5797075;5810412;49;3446;34;20;3571;13;3891
5797076;5810412;36;2512;36;36;2512;8;2612
5797077;5810412;38;2638;38;38;2638;12;3044
5797078;5810412;-1;-1;-1;-1;-1;13;3581
5797079;5810412;-1;-1;-1;-1;-1;11;3418
5797080;5810412;42;2924;42;42;2924;8;2629
5797081;5810412;42;2910;42;42;2910;11;3249
5797082;5810412;103;7196;98;83;7511;17;7484
5798974;5810412;101;7087;77;58;7173;-1;-1
5798975;5810412;82;5730;63;39;5816;17;6188
5798976;5810412;82;5725;63;39;5811;19;6075
5798977;5810412;-1;-1;-1;-1;-1;13;4171
5798978;5810412;-1;-1;-1;-1;-1;11;3642
5798979;5810412;43;2994;32;17;3114;12;4000
5798980;5810412;43;2994;32;17;3113;11;3376
5798981;5810412;47;3265;36;21;3385;14;3764
5798982;5810412;33;2344;33;33;2344;8;2472
5798983;5810412;32;2219;32;32;2219;10;2412
5798984;5810412;32;2211;32;32;2211;12;2404
5798985;5810412;37;2577;37;37;2577;8;2296
5798986;5810412;35;2438;35;35;2438;9;2562
5798987;5810412;38;2694;38;38;2694;11;3021
5798988;5810412;97;6779;90;77;7095;16;6959
5800879;5810412;102;7150;74;59;7236;20;9404
5800880;5810412;105;7367;75;62;7453;-1;-1
5800881;5810412;85;5935;68;42;6021;24;13031
5800882;5810412;44;3082;44;38;4060;12;3393
5800883;5810412;45;3118;44;39;4095;11;3170
5800884;5810412;-1;-1;-1;-1;-1;11;3459
5800885;5810412;40;2775;32;15;2955;10;3162
5800886;5810412;38;2627;31;17;3100;12;3119
5800887;5810412;39;2747;33;20;3372;14;3753
5800888;5810412;22;1508;22;22;1508;8;1543
5800889;5810412;28;1959;28;28;1959;8;2177
5800890;5810412;29;2035;29;29;2035;10;2090
5800891;5810412;32;2246;32;32;2246;7;1967
5800892;5810412;31;2182;31;31;2182;8;2404
5800893;5810412;33;2344;33;33;2344;10;2570
5800894;5810412;96;6689;90;76;7004;16;6966
5800895;5810412;92;6449;88;72;6764;16;6866
5802783;5810412;109;7608;89;66;7694;20;9338
5802784;5810412;106;7427;86;63;7513;22;9569
5802785;5810412;109;7645;89;66;7732;-1;-1
5802786;5810412;-1;-1;-1;-1;-1;24;12783
5802787;5810412;43;2982;42;37;3959;10;3204
5802788;5810412;40;2784;39;34;3761;10;2957
5802789;5810412;40;2785;39;34;3762;12;3700
5802790;5810412;41;2853;32;18;3205;11;3222
5802791;5810412;34;2354;30;17;2562;10;2763
5802792;5810412;37;2592;33;20;2800;10;2949
5802793;5810412;18;1279;18;18;1279;7;1484
5802794;5810412;24;1663;24;24;1663;7;1815
5802795;5810412;24;1663;24;24;1663;7;1816
5802796;5810412;25;1777;25;25;1777;8;2012
5802797;5810412;31;2138;31;31;2138;9;2330
5802798;5810412;33;2313;33;33;2313;11;2063
5802799;5810412;88;6133;83;68;6448;15;6279
5802800;5810412;86;6053;81;67;6368;15;6447
5802801;5810412;92;6421;88;72;6737;17;6806
5804689;5810412;120;8420;94;70;28620;20;9325
5804690;5810412;110;7707;87;67;28450;22;9316
5804691;5810412;127;8903;94;75;28974;18;8106
5804692;5810412;130;9095;100;78;29166;20;8072
5804693;5810412;43;2983;42;37;3961;12;3268
5804694;5810412;36;2543;36;31;3521;10;2874
5804695;5810412;35;2470;35;30;3448;12;3787
5804696;5810412;31;2193;28;15;2427;8;2415
5804697;5810412;30;2125;28;14;2333;9;2504
5804698;5810412;38;2653;33;21;2861;10;3050
5804699;5810412;15;1057;15;15;1057;6;1201
5804700;5810412;15;1017;15;15;1017;7;1141
5804701;5810412;19;1314;19;19;1314;8;1575
5804702;5810412;20;1377;20;20;1377;7;1394
5804703;5810412;22;1527;22;22;1527;7;1569
5804704;5810412;24;1675;24;24;1675;9;1989
5804705;5810412;84;5888;78;64;6204;14;6093
5804706;5810412;84;5849;77;64;6165;18;6382
5804707;5810412;-1;-1;-1;-1;-1;19;6895
5806593;5810412;120;8428;94;70;28636;22;9839
5806594;5810412;115;8066;93;65;28266;20;9074
5806595;5810412;114;7986;90;64;28232;20;8956
5806596;5810412;124;8669;94;71;28740;22;11628
5806597;5810412;129;9044;99;77;29116;17;7823
5806598;5810412;134;9354;102;81;29425;17;7586
5806599;5810412;34;2380;33;28;3358;9;2625
5806600;5810412;31;2152;31;25;3130;10;2482
5806601;5810412;28;1953;26;17;2541;9;2336
5806602;5810412;32;2235;29;16;2469;9;2533
5806603;5810412;34;2384;30;18;2618;8;899
5806604;5810412;15;1054;15;15;1054;6;1083
5806605;5810412;11;740;11;11;740;7;946
5806606;5810412;14;975;14;14;975;6;1052
5806607;5810412;17;1158;17;17;1158;8;1414
5806608;5810412;21;1479;21;21;1479;10;1759
5806609;5810412;26;1798;26;26;1798;9;1940
5806610;5810412;79;5533;74;59;5849;15;5830
5806611;5810412;81;5693;75;61;6008;17;6235
5806612;5810412;85;5939;78;65;6254;19;6385
5806613;5810412;108;7555;102;88;7870;19;7684
5808496;5810412;125;8774;94;75;28663;22;9896
5808497;5810412;125;8754;94;75;28962;22;9859
5808498;5810412;124;8658;94;73;28858;21;9590
5808499;5810412;118;8270;93;66;28341;19;8532
5808500;5810412;122;8560;94;70;28632;22;11879
5808501;5810412;134;9395;102;82;29467;17;7698
5808502;5810412;134;9408;102;82;29479;19;7573
5808503;5810412;35;2478;35;30;3455;12;2753
5808504;5810412;31;2167;31;25;3144;10;2394
5808505;5810412;26;1787;25;20;2764;8;2052
5808506;5810412;24;1701;24;20;2752;8;2026
5808507;5810412;11;802;11;11;802;6;673
5808508;5810412;9;618;9;9;618;5;435
5808509;5810412;8;543;8;8;543;5;696
5808510;5810412;13;893;13;13;893;8;1230
5808511;5810412;16;1138;16;16;1138;11;1632
5808512;5810412;-1;-1;-1;-1;-1;11;1818
5808513;5810412;76;5306;69;56;5621;14;5319
5808514;5810412;75;5221;68;55;5536;13;5580
5808515;5810412;79;5511;74;59;5827;14;5844
5808516;5810412;82;5749;75;62;6064;18;6303
5808517;5810412;88;6160;83;68;6475;20;6489
5808518;5810412;93;6545;88;74;6860;21;7963
5810399;5810412;130;9124;99;71;28399;-1;-1
5810400;5810412;129;9049;99;74;28576;24;10037
5810401;5810412;128;8943;99;77;29151;24;9995
5810402;5810412;120;8412;93;68;28484;19;9042
5810403;5810412;120;8426;93;68;28498;18;8503
5810404;5810412;124;8666;94;71;28738;25;11886
5810405;5810412;-1;-1;-1;-1;-1;18;7740
5810406;5810412;137;9557;107;84;29628;17;7310
5810407;5810412;-1;-1;-1;-1;-1;10;2502
5810408;5810412;-1;-1;-1;-1;-1;8;2167
5810409;5810412;21;1489;21;21;1489;7;1792
5810410;5810412;19;1300;19;19;1300;8;1614
5810411;5810412;12;874;12;12;874;6;621
5810412;5810412;0;0;0;0;0;0;0
5810413;5810412;8;563;8;8;563;6;886
5810414;5810412;11;736;11;11;736;8;1148
5810415;5810412;16;1142;16;16;1142;11;1465
5810416;5810412;71;4950;64;51;5266;15;5107
5810417;5810412;70;4919;64;50;5234;13;5186
5810418;5810412;74;5176;68;54;5492;15;5625
5810419;5810412;82;5711;75;62;6026;17;6308
