from_id;to_id;walk_t;walk_d;pt_m_tt;pt_m_t;pt_m_d;car_m_t;car_m_d
5785640;5810458;249;17432;183;160;39837;41;20476
5785641;5810458;252;17638;189;163;40043;41;20793
5785642;5810458;254;17755;189;164;40160;44;20977
5785643;5810458;258;18049;200;166;39056;33;13548
5787544;5810458;242;16942;178;153;39347;49;21193
5787545;5810458;243;17012;178;154;39417;49;21183
5787546;5810458;-1;-1;-1;-1;-1;42;20003
5787547;5810458;259;18137;193;168;39144;40;20394
5787548;5810458;255;17864;185;166;40269;39;20516
5787549;5810458;259;18157;193;168;39164;41;20759
5787550;5810458;186;12989;184;164;14927;30;13347
5789447;5810458;252;17613;127;113;36580;44;20802
5789448;5810458;256;17893;132;114;36602;44;20535
5789449;5810458;-1;-1;-1;-1;-1;44;20777
5789450;5810458;-1;-1;-1;-1;-1;47;21096
5789451;5810458;-1;-1;-1;-1;-1;43;20010
5789452;5810458;267;18708;181;163;37050;40;19902
5789453;5810458;262;18342;181;164;37085;39;20079
5789454;5810458;259;18146;185;165;37173;39;20343
5789455;5810458;268;18776;185;167;37349;41;20564
5789456;5810458;183;12829;182;161;14767;28;13257
5791353;5810458;259;18159;138;118;36941;44;21091
5791354;5810458;256;17927;132;115;36709;43;20789
5791355;5810458;257;17956;127;110;36370;42;20349
5791356;5810458;261;18304;132;115;36718;44;20502
5791357;5810458;-1;-1;-1;-1;-1;48;21088
5791358;5810458;-1;-1;-1;-1;-1;41;19397
5791359;5810458;267;18690;180;159;36741;39;19720
5791360;5810458;264;18499;180;159;36796;40;20088
5791361;5810458;265;18576;185;164;37149;42;20442
5791362;5810458;270;18887;193;169;36148;43;20751
5791363;5810458;183;12824;182;161;14762;30;13153
5793258;5810458;265;18544;147;124;37326;44;21437
5793259;5810458;261;18245;142;120;37026;45;21302
5793260;5810458;261;18278;142;120;37060;45;20715
5793261;5810458;261;18239;132;114;36505;42;20224
5793262;5810458;262;18346;132;114;36503;44;20323
5793263;5810458;-1;-1;-1;-1;-1;47;20229
5793264;5810458;-1;-1;-1;-1;-1;40;19341
5793265;5810458;269;18863;178;156;36526;39;19673
5793266;5810458;270;18923;178;156;36535;42;19870
5793267;5810458;-1;-1;-1;-1;-1;45;20665
5793268;5810458;-1;-1;-1;-1;-1;45;20892
5793269;5810458;-1;-1;-1;-1;-1;42;19704
5793270;5810458;188;13153;185;166;15090;30;13364
5795164;5810458;266;18620;147;125;37402;45;21586
5795165;5810458;267;18701;147;126;37483;43;20252
5795166;5810458;-1;-1;-1;-1;-1;44;20102
5795167;5810458;266;18639;132;115;35804;41;19722
5795168;5810458;265;18536;132;115;35805;42;19811
5795169;5810458;272;19053;138;116;35899;45;20033
5795170;5810458;270;18901;178;153;36302;38;19080
5795171;5810458;269;18820;174;152;36221;39;19381
5795172;5810458;273;19102;178;155;36470;41;19823
5795173;5810458;-1;-1;-1;-1;-1;43;19914
5795174;5810458;274;19193;178;155;36508;41;19548
5795175;5810458;273;19130;178;154;36444;42;19685
5795176;5810458;188;13188;185;166;15126;28;13402
5797069;5810458;285;19918;157;144;45664;34;30536
5797070;5810458;269;18817;156;128;37599;46;21864
5797071;5810458;270;18934;161;130;37716;42;20155
5797072;5810458;-1;-1;-1;-1;-1;42;19871
5797073;5810458;268;18777;127;112;35610;41;19956
5797074;5810458;267;18660;127;111;35507;41;19582
5797075;5810458;270;18869;127;113;35715;43;19914
5797076;5810458;265;18585;170;149;35985;39;19027
5797077;5810458;267;18711;174;151;36111;42;19459
5797078;5810458;-1;-1;-1;-1;-1;44;19996
5797079;5810458;-1;-1;-1;-1;-1;41;19833
5797080;5810458;271;18996;178;155;36397;38;19044
5797081;5810458;271;18982;178;154;36383;42;19664
5797082;5810458;186;13053;179;164;34654;28;13388
5798974;5810458;284;19857;142;124;44291;-1;-1
5798975;5810458;274;19178;161;133;37960;46;22211
5798976;5810458;274;19173;161;133;37955;49;22099
5798977;5810458;-1;-1;-1;-1;-1;43;20195
5798978;5810458;-1;-1;-1;-1;-1;41;19666
5798979;5810458;263;18416;127;111;35257;41;20024
5798980;5810458;263;18416;127;111;35257;41;19400
5798981;5810458;267;18688;132;115;35529;43;19788
5798982;5810458;263;18416;168;144;35731;38;18887
5798983;5810458;261;18291;166;142;35606;40;18827
5798984;5810458;261;18283;166;142;35598;42;18819
5798985;5810458;266;18649;170;150;36050;39;18711
5798986;5810458;264;18511;168;146;35825;39;18977
5798987;5810458;268;18766;174;151;36167;41;19436
5798988;5810458;187;13061;172;158;34237;29;13694
5800879;5810458;285;19919;139;117;43795;36;30170
5800880;5810458;288;20136;142;121;44074;-1;-1
5800881;5810458;277;19383;166;136;38165;35;30305
5800882;5810458;264;18505;161;132;36204;42;19417
5800883;5810458;265;18540;161;133;36239;41;19194
5800884;5810458;-1;-1;-1;-1;-1;41;19482
5800885;5810458;260;18197;127;108;35099;40;19185
5800886;5810458;258;18049;127;111;35243;42;19143
5800887;5810458;260;18169;132;114;35516;44;19776
5800888;5810458;252;17628;161;135;35028;38;18003
5800889;5810458;258;18031;163;141;35432;38;18592
5800890;5810458;259;18108;163;142;35508;40;18505
5800891;5810458;262;18318;168;143;35633;37;18382
