from_id;to_id;walk_t;walk_d;pt_m_tt;pt_m_t;pt_m_d;car_m_t;car_m_d
5785640;5793259;57;3960;57;57;3960;22;8934
5785641;5793259;60;4166;60;60;4166;22;9251
5785642;5793259;61;4283;61;61;4283;25;9435
5785643;5793259;65;4577;65;65;4577;38;16100
5787544;5793259;50;3470;50;50;3470;15;2128
5787545;5793259;51;3540;51;51;3540;15;2118
5787546;5793259;-1;-1;-1;-1;-1;22;8461
5787547;5793259;67;4665;67;67;4665;21;8852
5787548;5793259;63;4392;63;63;4392;20;8973
5787549;5793259;67;4685;67;67;4685;22;9217
5787550;5793259;152;10641;152;152;10641;35;15899
5789447;5793259;16;1106;16;16;1106;8;971
5789448;5793259;16;1128;16;16;1128;9;1286
5789449;5793259;-1;-1;-1;-1;-1;10;1712
5789450;5793259;-1;-1;-1;-1;-1;14;2030
5789451;5793259;-1;-1;-1;-1;-1;23;8468
5789452;5793259;75;5236;75;75;5236;21;8360
5789453;5793259;70;4870;70;70;4870;19;8537
5789454;5793259;67;4674;67;67;4674;20;8801
5789455;5793259;76;5304;76;76;5304;21;9022
5789456;5793259;150;10481;150;150;10481;33;15809
5791353;5793259;21;1467;21;21;1467;7;514
5791354;5793259;18;1235;18;18;1235;7;793
5791355;5793259;13;891;13;13;891;8;1283
5791356;5793259;18;1239;18;18;1239;11;1908
5791357;5793259;-1;-1;-1;-1;-1;14;2022
5791358;5793259;-1;-1;-1;-1;-1;21;7855
5791359;5793259;75;5218;75;75;5218;19;8178
5791360;5793259;72;5027;72;72;5027;21;8546
5791361;5793259;73;5104;73;73;5104;22;8900
5791362;5793259;77;5415;77;77;5415;24;9209
5791363;5793259;150;10476;150;150;10476;35;15705
5793258;5793259;26;1852;26;26;1852;7;689
5793259;5793259;0;0;0;0;0;0;0
5793260;5793259;23;1586;23;23;1586;11;1580
5793261;5793259;17;1174;17;17;1174;8;1360
5793262;5793259;18;1261;18;18;1261;11;1785
5793263;5793259;-1;-1;-1;-1;-1;16;2891
5793264;5793259;-1;-1;-1;-1;-1;21;7799
5793265;5793259;77;5391;77;77;5391;20;8131
5793266;5793259;78;5451;78;78;5451;23;8328
5793267;5793259;-1;-1;-1;-1;-1;26;9123
5793268;5793259;-1;-1;-1;-1;-1;26;9350
5793269;5793259;-1;-1;-1;-1;-1;23;8162
5793270;5793259;162;11357;160;149;15047;34;15159
5795164;5793259;28;1928;28;28;1928;8;837
5795165;5793259;29;2009;29;29;2009;14;3677
5795166;5793259;-1;-1;-1;-1;-1;15;3527
5795167;5793259;22;1554;22;22;1554;9;1911
5795168;5793259;21;1451;21;21;1451;11;2473
5795169;5793259;32;2275;32;32;2275;14;2695
5795170;5793259;84;5895;83;75;8119;19;7537
5795171;5793259;80;5590;80;73;8038;20;7839
5795172;5793259;80;5630;80;80;5630;22;8281
5795173;5793259;-1;-1;-1;-1;-1;23;8372
5795174;5793259;111;7755;98;79;8411;21;8006
5795175;5793259;110;7692;96;78;8348;23;8143
5795176;5793259;163;11392;160;150;15083;27;11775
5797069;5793259;50;3501;50;50;3501;33;17540
5797070;5793259;30;2125;30;30;2125;9;1116
5797071;5793259;32;2242;32;32;2242;13;3579
5797072;5793259;-1;-1;-1;-1;-1;13;3296
5797073;5793259;28;1986;28;26;2625;12;3381
5797074;5793259;27;1882;27;27;1882;10;2244
5797075;5793259;30;2091;30;30;2091;12;2577
5797076;5793259;86;5997;84;70;7803;19;7485
5797077;5793259;85;5937;84;72;7929;23;7917
5797078;5793259;-1;-1;-1;-1;-1;24;8454
5797079;5793259;-1;-1;-1;-1;-1;22;8291
5797080;5793259;108;7558;95;76;8214;19;7501
5797081;5793259;108;7543;95;76;8200;22;8122
5797082;5793259;157;10988;118;99;11514;27;11762
5798974;5793259;49;3440;49;49;3440;-1;-1
5798975;5793259;36;2486;36;36;2486;9;1463
5798976;5793259;35;2481;35;35;2481;12;1351
5798977;5793259;-1;-1;-1;-1;-1;14;3619
5798978;5793259;-1;-1;-1;-1;-1;12;3091
5798979;5793259;30;2085;29;26;2861;12;3449
5798980;5793259;28;1975;28;28;1975;11;2607
5798981;5793259;35;2475;35;35;2475;14;2995
5798982;5793259;89;6203;82;68;7635;19;7345
5798983;5793259;90;6299;81;66;7509;21;7285
5798984;5793259;98;6827;83;66;7502;23;7277
5798985;5793259;103;7211;93;71;7867;19;7169
5798986;5793259;101;7072;89;69;7729;20;7435
5798987;5793259;105;7328;94;73;7985;22;7894
5798988;5793259;151;10571;110;93;11098;26;11237
5800879;5793259;50;3502;50;50;3502;30;13683
5800880;5793259;53;3719;53;53;3719;-1;-1
5800881;5793259;38;2691;38;38;2691;34;17309
5800882;5793259;66;4653;65;52;6043;17;5115
5800883;5793259;67;4689;65;53;6079;16;4892
5800884;5793259;-1;-1;-1;-1;-1;12;2907
5800885;5793259;32;2208;31;26;2872;11;2610
5800886;5793259;34;2352;34;34;2352;14;2901
5800887;5793259;37;2625;37;32;3288;14;2984
5800888;5793259;88;6189;73;56;6846;19;6461
5800889;5793259;92;6460;78;62;7249;19;7050
5800890;5793259;95;6651;81;63;7326;21;6963
5800891;5793259;98;6880;85;66;7536;18;6840
5800892;5793259;97;6816;83;65;7472;19;7277
5800893;5793259;100;6978;85;68;7635;21;7443
5800894;5793259;150;10481;110;91;11007;26;11244
5800895;5793259;146;10240;110;88;10767;26;11144
5802783;5793259;57;3961;57;57;3961;31;13616
5802784;5793259;54;3780;54;54;3780;32;13847
5802785;5793259;57;3998;57;57;3998;-1;-1
5802786;5793259;-1;-1;-1;-1;-1;34;17061
5802787;5793259;65;4552;64;51;5943;15;4926
5802788;5793259;62;4355;62;48;5745;15;4679
5802789;5793259;62;4355;62;48;5746;13;3148
5802790;5793259;35;2457;35;35;2457;12;2671
5802791;5793259;35;2476;35;35;2476;12;2944
5802792;5793259;41;2852;40;32;3845;13;3246
5802793;5793259;85;5961;72;53;6617;18;6402
5802794;5793259;90;6296;74;58;6953;18;6687
5802795;5793259;90;6297;74;58;6953;18;6688
5802796;5793259;92;6410;77;60;7067;19;6885
5802797;5793259;97;6772;83;65;7428;20;7203
5802798;5793259;99;6947;85;67;7603;21;6936
5802799;5793259;142;9924;108;84;10451;25;10557
5802800;5793259;141;9845;104;82;10371;25;10725
5802801;5793259;146;10213;110;88;10740;27;11084
5804689;5793259;68;4773;68;68;4773;30;13603
5804690;5793259;58;4060;58;58;4060;32;13594
5804691;5793259;75;5256;75;75;5256;28;12384
5804692;5793259;78;5448;78;78;5448;30;12350
5804693;5793259;65;4554;64;51;5944;16;4990
5804694;5793259;59;4114;58;44;5504;15;4596
5804695;5793259;58;4041;55;43;4634;13;3235
5804696;5793259;43;2983;40;28;3576;13;3684
5804697;5793259;39;2744;35;25;3378;12;3284
5804698;5793259;42;2914;41;33;3906;12;3347
5804699;5793259;82;5739;72;50;6395;17;6119
5804700;5793259;81;5698;72;49;6355;18;6059
5804701;5793259;85;5947;72;53;6604;19;6448
5804702;5793259;86;6010;72;54;6667;18;6266
5804703;5793259;88;6161;73;56;6817;18;6441
5804704;5793259;90;6309;74;58;6965;20;6862
5804705;5793259;138;9680;99;80;10207;24;10371
5804706;5793259;138;9641;99;79;10168;28;10660
5804707;5793259;-1;-1;-1;-1;-1;29;11173
5806593;5793259;68;4781;68;68;4781;32;14117
5806594;5793259;63;4419;63;63;4419;30;13352
5806595;5793259;62;4338;62;62;4338;30;13234
5806596;5793259;72;5022;72;72;5022;32;15906
5806597;5793259;77;5397;77;77;5397;28;12102
5806598;5793259;82;5707;82;82;5707;27;11864
5806599;5793259;56;3951;54;42;5341;14;4347
5806600;5793259;53;3723;51;39;5113;15;4204
5806601;5793259;45;3134;44;30;3727;13;3605
5806602;5793259;44;3063;43;29;3656;13;3413
5806603;5793259;46;3211;45;31;3805;19;5861
5806604;5793259;82;5735;72;50;6392;17;6001
5806605;5793259;77;5422;67;45;6078;18;5864
5806606;5793259;80;5609;71;48;6265;17;5925
5806607;5793259;83;5792;72;51;6448;19;6287
5806608;5793259;87;6113;73;55;6769;21;6632
5806609;5793259;92;6432;78;60;7089;20;6813
5806610;5793259;133;9325;98;75;9852;25;10108
5806611;5793259;135;9484;98;77;10011;27;10513
