from_id;to_id;walk_t;walk_d;pt_m_tt;pt_m_t;pt_m_d;car_m_t;car_m_d
5785640;5810401;106;7427;106;106;7427;30;13448
5785641;5810401;109;7633;109;109;7633;30;13765
5785642;5810401;111;7751;111;111;7751;32;13949
5785643;5810401;115;8044;115;115;8044;39;17000
5787544;5810401;99;6938;99;99;6938;37;14165
5787545;5810401;100;7007;100;100;7007;37;14155
5787546;5810401;-1;-1;-1;-1;-1;30;12975
5787547;5810401;116;8133;116;116;8133;29;13366
5787548;5810401;112;7859;112;112;7859;27;13487
5787549;5810401;116;8152;116;116;8152;29;13731
5787550;5810401;202;14109;197;188;28004;36;16799
5789447;5810401;67;4664;67;67;4664;33;13774
5789448;5810401;71;4943;71;71;4943;32;13506
5789449;5810401;-1;-1;-1;-1;-1;32;13749
5789450;5810401;-1;-1;-1;-1;-1;36;14068
5789451;5810401;-1;-1;-1;-1;-1;31;12982
5789452;5810401;124;8704;124;124;8704;29;12874
5789453;5810401;119;8338;119;119;8338;27;13051
5789454;5810401;116;8141;116;116;8141;28;13315
5789455;5810401;125;8771;125;125;8771;29;13536
5789456;5810401;199;13949;196;186;27844;34;16709
5791353;5810401;74;5210;74;74;5210;32;14063
5791354;5810401;71;4978;71;71;4978;31;13760
5791355;5810401;72;5007;72;72;5007;30;13320
5791356;5810401;76;5355;76;76;5355;32;13473
5791357;5810401;-1;-1;-1;-1;-1;36;14060
5791358;5810401;-1;-1;-1;-1;-1;29;12369
5791359;5810401;124;8686;124;124;8686;27;12692
5791360;5810401;121;8494;121;121;8494;29;13060
5791361;5810401;122;8571;122;122;8571;30;13414
5791362;5810401;127;8882;127;127;8882;32;13723
5791363;5810401;199;13944;196;186;27839;36;16605
5793258;5810401;80;5595;80;80;5595;33;14409
5793259;5810401;76;5295;76;76;5295;34;14274
5793260;5810401;76;5329;76;76;5329;33;13686
5793261;5810401;76;5290;76;76;5290;30;13196
5793262;5810401;77;5396;77;77;5396;32;13295
5793263;5810401;-1;-1;-1;-1;-1;35;13201
5793264;5810401;-1;-1;-1;-1;-1;29;12313
5793265;5810401;127;8859;127;129;24781;28;12645
5793266;5810401;127;8918;128;129;24790;30;12842
5793267;5810401;-1;-1;-1;-1;-1;34;13637
5793268;5810401;-1;-1;-1;-1;-1;34;13864
5793269;5810401;-1;-1;-1;-1;-1;31;12676
5793270;5810401;212;14824;200;181;27525;35;16059
5795164;5810401;81;5670;81;81;5670;34;14557
5795165;5810401;82;5752;82;82;5752;32;13224
5795166;5810401;-1;-1;-1;-1;-1;32;13074
5795167;5810401;81;5689;81;81;5689;30;12694
5795168;5810401;80;5586;80;80;5586;31;12782
