from_id;to_id;walk_t;walk_d;pt_m_tt;pt_m_t;pt_m_d;car_m_t;car_m_d
5785640;5793261;56;3954;56;56;3954;18;7856
5785641;5793261;59;4160;59;59;4160;18;8173
5785642;5793261;61;4277;61;61;4277;21;8357
5785643;5793261;65;4571;65;65;4571;34;15023
5787544;5793261;49;3465;49;49;3465;12;1252
5787545;5793261;50;3534;50;50;3534;12;1242
5787546;5793261;-1;-1;-1;-1;-1;18;7384
5787547;5793261;67;4659;67;67;4659;17;7775
5787548;5793261;63;4386;63;63;4386;16;7896
5787549;5793261;67;4679;67;67;4679;18;8139
5787550;5793261;152;10635;151;146;14022;31;14822
5789447;5793261;10;728;10;10;728;7;860
5789448;5793261;10;726;10;10;726;7;593
5789449;5793261;-1;-1;-1;-1;-1;7;836
5789450;5793261;-1;-1;-1;-1;-1;10;1155
5789451;5793261;-1;-1;-1;-1;-1;20;7391
5789452;5793261;75;5230;75;75;5230;17;7283
5789453;5793261;69;4864;69;69;4864;16;7460
5789454;5793261;67;4668;67;67;4668;16;7724
5789455;5793261;76;5298;76;76;5298;17;7944
5789456;5793261;150;10475;148;144;13862;29;14732
5791353;5793261;16;1089;16;16;1089;6;1150
5791354;5793261;12;857;12;12;857;6;847
5791355;5793261;6;415;6;6;415;5;407
5791356;5793261;11;763;11;11;763;7;831
5791357;5793261;-1;-1;-1;-1;-1;11;1147
5791358;5793261;-1;-1;-1;-1;-1;17;6777
5791359;5793261;74;5213;74;74;5213;15;7101
5791360;5793261;72;5021;72;72;5021;17;7469
5791361;5793261;73;5098;73;73;5098;19;7823
5791362;5793261;77;5409;77;77;5409;20;8131
5791363;5793261;150;10470;148;144;13857;31;14628
5793258;5793261;21;1474;21;21;1474;7;1496
5793259;5793261;17;1174;17;17;1174;8;1360
5793260;5793261;17;1208;17;17;1208;8;773
5793261;5793261;0;0;0;0;0;0;0
5793262;5793261;11;755;11;11;755;7;708
5793263;5793261;-1;-1;-1;-1;-1;12;1814
5793264;5793261;-1;-1;-1;-1;-1;17;6721
5793265;5793261;77;5386;76;69;6924;16;7054
5793266;5793261;78;5445;76;69;6933;19;7251
5793267;5793261;-1;-1;-1;-1;-1;22;8046
5793268;5793261;-1;-1;-1;-1;-1;22;8272
5793269;5793261;-1;-1;-1;-1;-1;19;7085
5793270;5793261;162;11351;154;139;13542;30;14082
5795164;5793261;22;1549;22;22;1549;8;1644
5795165;5793261;23;1631;23;23;1631;11;2600
5795166;5793261;-1;-1;-1;-1;-1;11;2449
5795167;5793261;15;1048;15;15;1048;6;834
5795168;5793261;13;945;13;13;945;7;1395
5795169;5793261;19;1353;19;19;1353;10;1618
5795170;5793261;84;5889;79;64;6613;15;6460
5795171;5793261;80;5585;77;63;6533;16;6761
5795172;5793261;80;5624;78;68;6867;18;7204
5795173;5793261;-1;-1;-1;-1;-1;19;7294
5795174;5793261;98;6833;86;69;6906;17;6928
5795175;5793261;97;6770;85;68;6842;19;7065
5795176;5793261;163;11387;154;140;13578;23;10698
5797069;5793261;50;3495;50;50;3495;29;16463
5797070;5793261;25;1747;25;25;1747;9;1923
5797071;5793261;27;1864;27;27;1864;9;2502
5797072;5793261;-1;-1;-1;-1;-1;9;2219
5797073;5793261;15;1064;15;15;1064;8;2303
5797074;5793261;14;960;14;14;960;6;1167
5797075;5793261;17;1169;17;17;1169;8;1499
5797076;5793261;86;5991;80;60;6297;15;6407
5797077;5793261;85;5931;79;62;6423;19;6840
5797078;5793261;-1;-1;-1;-1;-1;21;7377
5797079;5793261;-1;-1;-1;-1;-1;18;7213
5797080;5793261;95;6636;84;66;6709;15;6424
5797081;5793261;95;6621;83;66;6694;19;7044
5797082;5793261;144;10066;108;89;10008;23;10685
5798974;5793261;49;3434;49;49;3434;-1;-1
5798975;5793261;30;2108;30;30;2108;9;2270
5798976;5793261;30;2103;30;30;2103;12;2158
5798977;5793261;-1;-1;-1;-1;-1;10;2542
5798978;5793261;-1;-1;-1;-1;-1;8;2013
5798979;5793261;17;1163;17;17;1163;9;2371
5798980;5793261;15;1053;15;15;1053;8;1530
5798981;5793261;22;1553;22;22;1553;10;1918
5798982;5793261;87;6056;75;58;6129;15;6268
5798983;5793261;85;5931;73;56;6003;17;6208
5798984;5793261;85;5923;73;56;5996;19;6199
5798985;5793261;90;6289;82;61;6362;15;6091
5798986;5793261;88;6150;78;59;6223;16;6357
5798987;5793261;92;6406;82;63;6479;18;6817
5798988;5793261;138;9649;100;83;9592;22;10160
5800879;5793261;50;3497;50;50;3497;26;12605
5800880;5793261;53;3714;53;53;3714;-1;-1
5800881;5793261;33;2312;33;33;2312;30;16232
5800882;5793261;53;3731;53;42;4538;13;4038
5800883;5793261;54;3767;53;42;4573;12;3815
5800884;5793261;-1;-1;-1;-1;-1;8;1830
5800885;5793261;18;1286;18;16;1366;7;1533
5800886;5793261;20;1430;20;20;1430;10;1824
5800887;5793261;24;1703;24;24;1703;10;1907
5800888;5793261;75;5267;62;46;5340;15;5384
5800889;5793261;81;5671;67;52;5744;15;5973
5800890;5793261;82;5747;70;53;5820;17;5885
5800891;5793261;85;5958;74;56;6031;14;5762
5800892;5793261;84;5894;72;55;5967;15;6200
5800893;5793261;87;6056;75;58;6129;17;6366
5800894;5793261;137;9559;100;81;9502;22;10166
5800895;5793261;133;9318;100;78;9261;22;10067
5802783;5793261;57;3955;57;57;3955;27;12539
5802784;5793261;54;3774;54;54;3774;28;12769
5802785;5793261;57;3992;57;57;3992;-1;-1
5802786;5793261;-1;-1;-1;-1;-1;30;15984
5802787;5793261;52;3630;52;41;4437;11;3849
5802788;5793261;49;3433;49;38;4239;11;3602
5802789;5793261;49;3433;49;38;4240;9;2071
5802790;5793261;22;1535;22;22;1535;8;1593
5802791;5793261;22;1554;22;22;1554;8;1867
5802792;5793261;28;1930;27;22;2339;9;2169
5802793;5793261;72;5038;62;43;5111;14;5325
5802794;5793261;77;5374;63;48;5447;14;5610
5802795;5793261;77;5375;63;48;5448;14;5611
5802796;5793261;78;5488;66;49;5561;15;5807
5802797;5793261;84;5850;72;55;5922;16;6126
5802798;5793261;86;6025;75;57;6098;18;5859
5802799;5793261;129;9002;98;73;8945;21;9480
5802800;5793261;127;8923;94;72;8866;21;9648
5802801;5793261;133;9291;100;78;9234;23;10007
5804689;5793261;68;4767;68;68;4767;26;12525
5804690;5793261;58;4054;58;58;4054;28;12517
5804691;5793261;75;5250;75;75;5250;24;11306
5804692;5793261;78;5442;78;78;5442;27;11273
5804693;5793261;52;3632;52;41;4438;12;3913
5804694;5793261;46;3192;45;34;3999;11;3519
5804695;5793261;45;3119;43;33;3129;9;2158
5804696;5793261;29;2061;28;18;2071;9;2607
5804697;5793261;26;1822;23;15;1872;9;2206
5804698;5793261;28;1992;28;22;2401;9;2270
5804699;5793261;69;4817;60;40;4889;13;5041
5804700;5793261;68;4776;60;39;4849;14;4981
5804701;5793261;72;5025;62;43;5098;15;5370
5804702;5793261;73;5088;62;44;5161;15;5189
5804703;5793261;75;5239;62;46;5312;14;5364
5804704;5793261;77;5387;63;48;5459;17;5784
5804705;5793261;125;8758;89;70;8701;20;9294
5804706;5793261;125;8719;89;69;8662;24;9583
5804707;5793261;-1;-1;-1;-1;-1;25;10096
5806593;5793261;68;4775;68;68;4775;28;13040
5806594;5793261;63;4413;63;63;4413;26;12275
5806595;5793261;62;4333;62;62;4333;26;12157
5806596;5793261;72;5016;72;72;5016;28;14829
5806597;5793261;77;5391;77;77;5391;24;11024
5806598;5793261;81;5701;81;81;5701;23;10787
5806599;5793261;43;3029;42;32;3835;10;3270
5806600;5793261;40;2801;39;29;3608;11;3127
5806601;5793261;32;2212;31;20;2222;9;2528
5806602;5793261;31;2141;30;19;2150;9;2336
5806603;5793261;33;2289;32;21;2299;15;4783
5806604;5793261;69;4813;60;40;4886;13;4924
5806605;5793261;64;4500;56;35;4573;14;4787
5806606;5793261;67;4687;60;38;4760;14;4847
5806607;5793261;70;4870;61;41;4943;15;5210
5806608;5793261;74;5191;62;45;5263;17;5555
5806609;5793261;79;5510;66;50;5583;16;5736
5806610;5793261;120;8403;87;65;8346;21;9031
5806611;5793261;122;8563;87;67;8505;24;9436
5806612;5793261;126;8808;89;71;8751;25;9586
5806613;5793261;149;10425;112;94;10367;25;10885
5808496;5793261;73;5121;73;73;5121;28;13097
5808497;5793261;73;5101;73;73;5101;28;13060
5808498;5793261;71;5005;71;71;5005;27;12791
5808499;5793261;66;4617;66;66;4617;25;11733
5808500;5793261;70;4907;70;70;4907;28;15080
5808501;5793261;82;5742;82;82;5742;23;10899
5808502;5793261;82;5755;82;82;5755;25;10774
5808503;5793261;45;3127;43;33;3136;13;3398
5808504;5793261;40;2815;39;29;3622;11;3038
5808505;5793261;35;2436;34;23;3242;9;2697
5808506;5793261;35;2423;33;22;3156;9;2843
5808507;5793261;62;4352;55;33;4425;13;4557
5808508;5793261;60;4168;52;31;4241;12;4320
5808509;5793261;61;4302;52;32;4375;12;4537
5808510;5793261;66;4605;59;37;4677;16;5026
5808511;5793261;64;4484;56;35;4556;18;5428
5808512;5793261;-1;-1;-1;-1;-1;18;5613
5808513;5793261;117;8176;87;62;8118;20;8520
5808514;5793261;116;8091;87;60;8034;19;8780
5808515;5793261;120;8381;87;65;8324;20;9044
5808516;5793261;123;8619;87;68;8562;24;9504
5808517;5793261;129;9030;98;74;8973;26;9689
5808518;5793261;134;9414;100;79;9357;27;11164
5810399;5793261;78;5471;78;78;5471;-1;-1
5810400;5793261;77;5396;77;77;5396;30;13238
5810401;5793261;76;5290;76;76;5290;30;13196
5810402;5793261;68;4759;68;68;4759;25;12243
5810403;5793261;68;4773;68;68;4773;24;11704
5810404;5793261;72;5013;72;72;5013;31;15087
5810405;5793261;-1;-1;-1;-1;-1;24;10941
5810406;5793261;84;5904;84;84;5904;23;10511
5810407;5793261;-1;-1;-1;-1;-1;13;3959
5810408;5793261;-1;-1;-1;-1;-1;11;3624
5810409;5793261;37;2588;35;19;2944;9;3089
5810410;5793261;38;2678;34;17;2778;10;2969
5810411;5793261;63;4424;55;34;4497;13;4505
5810412;5793261;55;3875;51;26;3947;12;4201
5810413;5793261;56;3909;51;27;3982;12;4191
5810414;5793261;58;4082;51;29;4154;14;4454
5810415;5793261;64;4488;56;35;4561;18;4770
5810416;5793261;112;7820;77;57;7763;21;8308
5810417;5793261;111;7788;77;56;7731;19;8387
5810418;5793261;115;8046;87;60;7989;21;8826
5810419;5793261;123;8581;87;67;8524;23;9509
5810420;5793261;126;8802;89;71;8744;25;9572
5810421;5793261;129;9018;98;74;8961;26;9679
5810422;5793261;132;9259;100;77;9202;25;10999
5810423;5793261;186;13048;126;102;13014;29;13054
5810457;5793261;263;18375;141;122;37643;41;19670
5810458;5793261;261;18239;137;118;37387;43;22735
5810462;5793261;282;19728;129;104;27603;46;24162
5810463;5793261;282;19711;124;102;27101;46;24233
5810464;5793261;285;19941;128;107;37110;47;24490
5812300;5793261;85;5924;84;71;30463;-1;-1
5812301;5793261;82;5760;82;74;30694;-1;-1
5812302;5793261;83;5795;83;78;31000;34;13458
5812303;5793261;-1;-1;-1;-1;-1;30;13261
5812304;5793261;73;5085;73;73;5085;25;12014
5812305;5793261;73;5142;73;73;5142;26;13947
5812306;5793261;-1;-1;-1;-1;-1;25;10991
5812307;5793261;-1;-1;-1;-1;-1;24;10679
5812308;5793261;117;8171;98;80;10758;22;10113
5812309;5793261;117;8184;98;80;10770;12;3892
5812310;5793261;-1;-1;-1;-1;-1;11;3699
5812311;5793261;42;2956;39;19;2933;10;3252
5812312;5793261;41;2876;36;18;2853;10;3062
5812313;5793261;44;3090;40;21;3577;11;3381
5812314;5793261;50;3499;45;21;3572;11;3726
5812315;5793261;54;3765;47;25;3838;12;4035
5812316;5793261;58;4057;51;29;4651;15;4474
5812317;5793261;61;4303;52;33;4897;16;4676
5812318;5793261;110;7684;76;55;7627;19;8166
5812319;5793261;108;7537;69;52;7480;21;8396
5812320;5793261;120;8380;87;65;8323;20;8889
5812321;5793261;120;8402;87;65;8344;23;9364
5812322;5793261;133;9286;89;69;9371;26;9681
5812323;5793261;132;9222;94;73;9628;29;9934
5812324;5793261;133;9336;100;78;9279;31;13200
5812325;5793261;186;13009;126;102;12975;29;13016
5812353;5793261;236;16503;159;123;29301;40;18193
5812354;5793261;239;16709;159;126;29507;40;18413
5812355;5793261;247;17260;154;129;38883;38;18553
5812356;5793261;245;17141;154;127;38743;41;18972
5812358;5793261;276;19313;152;127;40542;45;19652
5812359;5793261;273;19111;143;123;37732;42;19681
5812360;5793261;268;18775;137;118;37396;44;23141
5812361;5793261;266;18638;131;114;37087;44;23113
5812362;5793261;268;18748;131;115;37441;48;23718
5812363;5793261;273;19119;131;113;37328;45;23648
5812364;5793261;276;19318;125;103;27486;46;23891
5812365;5793261;280;19634;126;103;27479;46;24328
5812366;5793261;289;20200;128;108;37206;48;24749
5814173;5793261;247;17268;158;128;36283;63;32029
5814174;5793261;256;17946;170;137;36961;64;32010
5814175;5793261;258;18038;170;139;37053;63;31547
5814176;5793261;214;15015;187;168;39122;65;31646
5814201;5793261;87;6088;83;68;30277;-1;-1
5814202;5793261;88;6129;86;72;30526;32;13863
5814203;5793261;-1;-1;-1;-1;-1;29;13386
5814204;5793261;-1;-1;-1;-1;-1;26;12047
5814205;5793261;76;5346;76;76;5346;25;11680
5814206;5793261;77;5383;77;75;29741;27;13801
5814207;5793261;94;6576;89;77;29888;23;10624
5814208;5793261;96;6739;90;79;30050;23;10571
5814209;5793261;115;8024;98;78;10610;21;9941
5814210;5793261;114;7960;98;77;10546;23;9933
5814211;5793261;-1;-1;-1;-1;-1;14;3941
5814212;5793261;-1;-1;-1;-1;-1;12;3413
5814213;5793261;46;3228;42;23;3205;12;3394
5814214;5793261;47;3262;42;19;3430;10;3351
5814215;5793261;49;3403;43;18;3378;13;3770
5814216;5793261;58;4075;48;24;4281;13;4280
5814217;5793261;61;4239;48;24;4303;17;4956
5814218;5793261;-1;-1;-1;-1;-1;16;4569
5814219;5793261;107;7480;69;52;7423;19;8076
5814220;5793261;104;7296;69;49;7239;21;8156
5814221;5793261;124;8646;89;68;8589;23;9239
5814222;5793261;124;8665;89;69;8608;25;9497
5814223;5793261;132;9255;87;66;9153;28;9855
5814224;5793261;132;9209;87;65;9107;29;9943
5814225;5793261;-1;-1;-1;-1;-1;31;12986
5814226;5793261;182;12769;120;98;12735;29;12806
5814227;5793261;178;12455;119;94;12421;28;12578
5814253;5793261;238;16666;154;127;37717;43;18242
5814254;5793261;257;17960;135;109;36414;43;18456
5814255;5793261;256;17906;135;109;36360;42;18631
5814256;5793261;249;17421;157;132;39044;41;19033
5814257;5793261;255;17867;160;138;39469;41;19516
5814258;5793261;251;17569;159;139;30367;41;19358
5814259;5793261;254;17790;159;137;39391;44;19628
5814260;5793261;273;19088;143;123;37709;47;24565
5814261;5793261;269;18832;137;119;37452;45;23336
5814262;5793261;270;18930;131;115;28702;44;23209
5814263;5793261;271;18982;131;113;28589;44;23469
5814264;5793261;276;19340;131;115;37434;44;23525
5814265;5793261;275;19280;124;103;27831;45;23762
5814266;5793261;284;19861;131;106;38947;47;24227
5814267;5793261;297;20822;131;106;37593;49;25655
5814268;5793261;297;20825;124;100;27931;49;25520
5816065;5793261;254;17745;164;134;36738;65;33973
5816068;5793261;243;17038;158;123;35986;60;33059
5816069;5793261;247;17290;158;127;36239;59;33257
5816070;5793261;232;16245;146;112;35217;61;33405
5816071;5793261;232;16239;146;113;35271;61;33248
5816072;5793261;233;16333;146;115;35365;60;31786
5816073;5793261;219;15302;158;119;35657;61;31650
5816074;5793261;213;14944;164;133;36629;60;31319
5816075;5793261;215;15077;187;169;39184;61;31169
5816099;5793261;101;7062;99;78;30953;26;13762
5816100;5793261;93;6479;89;70;30392;27;13693
5816101;5793261;98;6870;93;75;30783;30;13722
5816102;5793261;-1;-1;-1;-1;-1;28;13232
5816103;5793261;-1;-1;-1;-1;-1;25;11955
5816104;5793261;80;5615;79;72;29514;24;11704
5816105;5793261;89;6214;85;72;29525;27;13550
5816106;5793261;92;6416;87;75;29728;23;10593
5816107;5793261;97;6759;90;80;30071;22;10246
5816108;5793261;112;7850;98;76;10467;22;10354
5816109;5793261;109;7655;94;73;10241;23;9660
5816110;5793261;113;7884;96;72;10199;23;9373
5816111;5793261;-1;-1;-1;-1;-1;24;9327
5816112;5793261;-1;-1;-1;-1;-1;23;9081
5816113;5793261;53;3681;46;22;3898;12;3547
5816114;5793261;51;3585;43;17;3613;11;3745
5816115;5793261;54;3796;48;19;3921;12;4013
5816116;5793261;58;4051;48;20;4016;16;4855
5816117;5793261;61;4298;48;24;4263;15;4845
