from_id;to_id;walk_t;walk_d;pt_m_tt;pt_m_t;pt_m_d;car_m_t;car_m_d
5785640;5810422;182;12727;132;115;12802;25;11250
5785641;5810422;148;10374;135;118;13008;25;11567
5785642;5810422;149;10454;136;120;13125;28;11751
5785643;5810422;154;10748;142;124;13418;22;6818
5787544;5810422;175;12237;126;108;12312;32;11967
5787545;5810422;176;12307;126;109;12381;32;11958
5787546;5810422;-1;-1;-1;-1;-1;25;10777
5787547;5810422;147;10261;140;125;13507;24;11169
5787548;5810422;143;10036;134;121;13233;22;11290
5787549;5810422;145;10170;139;126;13526;24;11533
5787550;5810422;101;7082;101;101;7082;19;6617
5789447;5810422;139;9735;83;69;9545;28;11576
5789448;5810422;139;9733;88;69;9566;27;11309
5789449;5810422;-1;-1;-1;-1;-1;27;11552
5789450;5810422;-1;-1;-1;-1;-1;31;11870
5789451;5810422;-1;-1;-1;-1;-1;26;10785
5789452;5810422;139;9697;132;118;10014;24;10677
5789453;5810422;139;9733;132;119;10050;22;10854
5789454;5810422;140;9820;133;120;10137;23;11117
5789455;5810422;143;9997;134;123;10314;24;11338
5789456;5810422;99;6922;99;99;6922;17;6527
5791353;5810422;144;10095;92;74;9906;27;11866
5791354;5810422;141;9863;88;71;9674;26;11563
5791355;5810422;134;9386;83;66;9334;25;11123
5791356;5810422;135;9448;88;71;9683;28;11276
5791357;5810422;-1;-1;-1;-1;-1;31;11862
5791358;5810422;-1;-1;-1;-1;-1;24;10171
5791359;5810422;134;9388;129;114;9705;22;10494
5791360;5810422;135;9443;129;115;9760;24;10863
5791361;5810422;140;9797;133;120;10114;25;11217
5791362;5810422;144;10107;139;127;10511;27;11525
5791363;5810422;99;6917;99;99;6917;19;6423
5793258;5810422;150;10481;100;79;10291;28;12212
5793259;5810422;145;10181;96;75;9991;29;12076
5793260;5810422;146;10214;96;76;10025;28;11489
5793261;5810422;132;9259;88;69;9470;25;10999
5793262;5810422;131;9154;88;69;9468;27;11098
5793263;5810422;-1;-1;-1;-1;-1;30;11003
5793264;5810422;-1;-1;-1;-1;-1;24;10115
5793265;5810422;131;9174;123;111;9491;23;10448
5793266;5810422;131;9182;123;111;9500;26;10645
5793267;5810422;-1;-1;-1;-1;-1;29;11440
5793268;5810422;-1;-1;-1;-1;-1;29;11666
5793269;5810422;-1;-1;-1;-1;-1;26;10479
5793270;5810422;94;6602;94;94;6602;18;5878
5795164;5810422;151;10556;100;80;10366;29;12360
5795165;5810422;152;10638;100;82;10448;27;11027
5795166;5810422;-1;-1;-1;-1;-1;27;10876
5795167;5810422;128;8933;88;70;8768;25;10497
5795168;5810422;128;8934;88;70;8769;26;10585
5795169;5810422;129;9015;92;72;8864;28;10807
5795170;5810422;127;8863;122;109;9266;22;9854
5795171;5810422;125;8782;121;108;9186;23;10155
5795172;5810422;130;9117;123;110;9434;25;10598
5795173;5810422;-1;-1;-1;-1;-1;26;10688
5795174;5810422;131;9155;123;111;9472;24;10322
5795175;5810422;130;9092;123;110;9409;26;10459
5795176;5810422;95;6638;95;95;6638;11;2493
5797069;5810422;179;12533;126;109;12343;29;16243
5797070;5810422;154;10754;109;83;10564;30;12639
5797071;5810422;155;10870;113;85;10681;26;10929
5797072;5810422;-1;-1;-1;-1;-1;25;10646
5797073;5810422;125;8739;83;67;8575;25;10730
