from_id;to_id;walk_t;walk_d;pt_m_tt;pt_m_t;pt_m_d;car_m_t;car_m_d
5785640;5793262;58;4061;58;58;4061;20;7955
5785641;5793262;61;4267;61;61;4267;20;8272
5785642;5793262;63;4384;63;63;4384;23;8456
5785643;5793262;67;4677;67;67;4677;36;15122
5787544;5793262;51;3571;51;51;3571;14;1677
5787545;5793262;52;3641;52;52;3641;14;1667
5787546;5793262;-1;-1;-1;-1;-1;20;7483
5787547;5793262;68;4766;68;68;4766;19;7874
5787548;5793262;64;4493;64;64;4493;18;7995
5787549;5793262;68;4786;68;68;4786;20;8238
5787550;5793262;153;10742;152;144;13916;33;14921
5789447;5793262;12;815;12;12;815;10;1285
5789448;5793262;12;813;12;12;813;9;1018
5789449;5793262;-1;-1;-1;-1;-1;9;1261
5789450;5793262;-1;-1;-1;-1;-1;13;1579
5789451;5793262;-1;-1;-1;-1;-1;22;7490
5789452;5793262;76;5337;76;76;5337;19;7382
5789453;5793262;71;4971;71;71;4971;18;7559
5789454;5793262;68;4774;68;68;4774;18;7823
5789455;5793262;77;5405;77;77;5405;19;8043
5789456;5793262;151;10582;149;142;13757;31;14831
5791353;5793262;17;1176;17;17;1176;9;1575
5791354;5793262;13;944;13;13;944;8;1272
5791355;5793262;7;502;7;7;502;7;832
5791356;5793262;12;850;12;12;850;9;985
5791357;5793262;-1;-1;-1;-1;-1;13;1571
5791358;5793262;-1;-1;-1;-1;-1;19;6876
5791359;5793262;76;5319;75;70;7033;17;7200
5791360;5793262;73;5128;73;73;5128;19;7568
5791361;5793262;74;5205;74;74;5205;21;7922
5791362;5793262;79;5515;79;79;5515;22;8230
5791363;5793262;151;10577;149;142;13751;33;14727
5793258;5793262;22;1561;22;22;1561;10;1921
5793259;5793262;18;1261;18;18;1261;11;1785
5793260;5793262;18;1295;18;18;1295;10;1198
5793261;5793262;11;755;11;11;755;7;708
5793262;5793262;0;0;0;0;0;0;0
5793263;5793262;-1;-1;-1;-1;-1;14;1913
5793264;5793262;-1;-1;-1;-1;-1;19;6820
5793265;5793262;78;5492;76;67;6819;18;7153
5793266;5793262;79;5551;77;67;6828;21;7350
5793267;5793262;-1;-1;-1;-1;-1;24;8145
5793268;5793262;-1;-1;-1;-1;-1;24;8371
5793269;5793262;-1;-1;-1;-1;-1;21;7184
5793270;5793262;164;11457;153;138;13437;32;14181
5795164;5793262;23;1636;23;23;1636;11;2069
5795165;5793262;25;1718;25;25;1718;13;2699
5795166;5793262;-1;-1;-1;-1;-1;13;2548
5795167;5793262;15;1046;15;15;1046;8;933
5795168;5793262;13;943;13;13;943;9;1494
5795169;5793262;18;1248;18;18;1248;12;1717
5795170;5793262;86;5996;79;63;6508;17;6559
5795171;5793262;81;5691;77;62;6428;18;6860
5795172;5793262;82;5731;79;67;6762;20;7303
5795173;5793262;-1;-1;-1;-1;-1;21;7394
5795174;5793262;96;6728;85;67;6800;19;7028
5795175;5793262;95;6664;83;66;6737;21;7164
5795176;5793262;164;11493;153;138;13472;25;10797
5797069;5793262;51;3602;51;51;3602;31;16562
5797070;5793262;26;1834;26;26;1834;12;2348
5797071;5793262;28;1951;28;28;1951;11;2601
5797072;5793262;-1;-1;-1;-1;-1;11;2318
5797073;5793262;14;959;14;14;959;10;2402
5797074;5793262;12;855;12;12;855;8;1266
5797075;5793262;15;1063;15;15;1063;10;1598
5797076;5793262;87;6098;80;58;6192;18;6506
5797077;5793262;86;6038;79;60;6318;21;6939
5797078;5793262;-1;-1;-1;-1;-1;23;7476
5797079;5793262;-1;-1;-1;-1;-1;20;7312
5797080;5793262;93;6531;82;64;6604;17;6523
5797081;5793262;93;6516;82;64;6589;21;7143
5797082;5793262;142;9960;106;87;9903;25;10784
5798974;5793262;51;3541;51;51;3541;-1;-1
5798975;5793262;31;2195;31;31;2195;12;2695
5798976;5793262;31;2190;31;31;2190;14;2583
5798977;5793262;-1;-1;-1;-1;-1;12;2641
5798978;5793262;-1;-1;-1;-1;-1;10;2112
5798979;5793262;15;1058;15;15;1058;11;2470
5798980;5793262;14;948;14;14;948;10;1629
5798981;5793262;21;1448;21;21;1448;12;2017
5798982;5793262;85;5951;73;56;6024;17;6367
5798983;5793262;83;5825;71;54;5898;19;6307
5798984;5793262;83;5818;71;54;5891;21;6298
5798985;5793262;88;6184;80;59;6256;17;6190
5798986;5793262;86;6045;76;57;6118;18;6456
5798987;5793262;90;6301;81;61;6374;20;6916
5798988;5793262;136;9544;98;81;9487;24;10259
5800879;5793262;51;3603;51;51;3603;28;12704
5800880;5793262;55;3820;55;55;3820;-1;-1
5800881;5793262;34;2399;34;34;2399;32;16331
5800882;5793262;52;3626;51;40;4433;15;4137
5800883;5793262;52;3662;52;41;4468;14;3914
5800884;5793262;-1;-1;-1;-1;-1;10;1929
5800885;5793262;17;1181;17;14;1261;9;1632
5800886;5793262;19;1325;19;19;1325;12;1923
5800887;5793262;23;1598;23;23;1598;12;2006
5800888;5793262;74;5162;61;45;5235;17;5483
5800889;5793262;80;5566;65;51;5639;17;6072
5800890;5793262;81;5642;68;52;5715;19;5985
5800891;5793262;84;5853;73;55;5925;16;5861
5800892;5793262;83;5789;71;54;5862;17;6299
5800893;5793262;85;5951;73;56;6024;19;6465
5800894;5793262;135;9454;98;80;9397;24;10265
5800895;5793262;132;9213;98;76;9156;24;10166
5802783;5793262;58;4062;58;58;4062;29;12638
5802784;5793262;55;3881;55;55;3881;30;12868
5802785;5793262;59;4099;59;59;4099;-1;-1
5802786;5793262;-1;-1;-1;-1;-1;32;16083
5802787;5793262;50;3525;50;39;4332;13;3948
5802788;5793262;48;3327;48;36;4134;13;3701
5802789;5793262;48;3328;48;36;4135;11;2170
5802790;5793262;20;1430;20;20;1430;10;1692
5802791;5793262;21;1449;21;21;1449;10;1966
5802792;5793262;26;1825;26;20;2234;11;2268
5802793;5793262;70;4933;60;41;5006;16;5424
5802794;5793262;75;5269;61;46;5342;16;5709
5802795;5793262;75;5270;61;46;5343;16;5710
5802796;5793262;77;5383;64;48;5456;17;5906
5802797;5793262;82;5744;71;53;5817;18;6225
5802798;5793262;85;5920;73;56;5992;20;5958
5802799;5793262;127;8897;97;72;8840;23;9579
5802800;5793262;126;8818;92;71;8761;23;9747
5802801;5793262;131;9186;98;76;9129;25;10106
5804689;5793262;70;4873;70;70;4873;28;12624
5804690;5793262;59;4160;59;59;4160;30;12616
5804691;5793262;77;5356;77;77;5356;26;11405
5804692;5793262;79;5549;79;79;5549;29;11372
5804693;5793262;50;3527;50;39;4333;15;4012
5804694;5793262;44;3087;43;33;3893;13;3618
5804695;5793262;43;3014;41;31;3023;11;2257
5804696;5793262;28;1956;26;16;1965;11;2706
5804697;5793262;25;1717;22;13;1767;11;2305
5804698;5793262;27;1887;27;21;2295;11;2369
5804699;5793262;67;4712;59;38;4784;15;5140
5804700;5793262;67;4671;59;38;4744;16;5080
5804701;5793262;70;4920;60;41;4993;17;5469
5804702;5793262;71;4983;60;42;5056;17;5288
5804703;5793262;73;5134;61;44;5206;16;5463
5804704;5793262;75;5281;61;46;5354;19;5884
5804705;5793262;124;8653;88;68;8596;22;9393
5804706;5793262;123;8614;88;68;8557;26;9682
5804707;5793262;-1;-1;-1;-1;-1;27;10195
5806593;5793262;70;4882;70;70;4882;30;13139
5806594;5793262;65;4519;65;65;4519;28;12374
5806595;5793262;63;4439;63;63;4439;28;12256
5806596;5793262;73;5123;73;73;5123;30;14928
5806597;5793262;79;5498;79;79;5498;26;11123
5806598;5793262;83;5808;83;83;5808;25;10886
5806599;5793262;42;2924;40;30;3730;12;3369
5806600;5793262;39;2696;37;27;3503;13;3226
5806601;5793262;30;2107;29;18;2116;11;2627
5806602;5793262;29;2036;29;17;2045;11;2435
5806603;5793262;31;2184;30;19;2194;17;4882
5806604;5793262;67;4708;59;38;4781;15;5023
5806605;5793262;63;4395;55;34;4467;16;4886
5806606;5793262;65;4582;58;36;4654;16;4946
5806607;5793262;68;4765;59;39;4837;17;5309
5806608;5793262;73;5085;61;44;5158;19;5654
5806609;5793262;77;5405;64;48;5478;18;5835
5806610;5793262;119;8298;86;63;8241;23;9130
5806611;5793262;121;8457;86;66;8400;26;9535
5806612;5793262;124;8703;88;69;8646;27;9685
5806613;5793262;147;10319;111;92;10262;27;10984
5808496;5793262;75;5227;75;75;5227;30;13196
5808497;5793262;74;5207;74;74;5207;30;13159
5808498;5793262;73;5111;73;73;5111;29;12890
5808499;5793262;67;4723;67;67;4723;27;11832
5808500;5793262;72;5014;72;72;5014;30;15179
5808501;5793262;84;5849;84;84;5849;25;10998
5808502;5793262;84;5861;84;84;5861;27;10873
5808503;5793262;43;3021;41;31;3031;15;3497
5808504;5793262;39;2710;38;27;3517;13;3137
5808505;5793262;33;2331;32;22;3137;11;2796
5808506;5793262;33;2318;32;21;3051;11;2942
5808507;5793262;61;4247;54;32;4320;15;4656
5808508;5793262;58;4063;50;29;4136;14;4419
5808509;5793262;60;4197;51;31;4270;14;4636
5808510;5793262;64;4499;58;35;4572;18;5125
5808511;5793262;63;4378;54;34;4451;20;5527
5808512;5793262;-1;-1;-1;-1;-1;20;5713
5808513;5793262;115;8070;86;60;8013;22;8619
5808514;5793262;114;7986;86;59;7929;21;8879
5808515;5793262;118;8276;86;63;8219;22;9143
5808516;5793262;122;8514;86;66;8456;26;9603
5808517;5793262;127;8925;97;72;8868;28;9788
5808518;5793262;133;9309;98;78;9252;29;11263
5810399;5793262;80;5578;80;75;30792;-1;-1
5810400;5793262;79;5502;79;78;30969;33;13337
5810401;5793262;77;5396;77;77;5396;32;13295
5810402;5793262;70;4866;70;70;4866;27;12342
5810403;5793262;70;4880;70;70;4880;26;11803
5810404;5793262;73;5120;73;73;5120;33;15186
5810405;5793262;-1;-1;-1;-1;-1;26;11040
5810406;5793262;86;6011;86;86;6011;25;10610
5810407;5793262;-1;-1;-1;-1;-1;15;4058
5810408;5793262;-1;-1;-1;-1;-1;13;3723
5810409;5793262;35;2483;34;18;2839;11;3188
5810410;5793262;37;2573;33;15;2673;12;3068
5810411;5793262;62;4319;54;33;4392;15;4604
5810412;5793262;54;3770;49;25;3842;14;4300
5810413;5793262;54;3804;49;25;3877;14;4290
5810414;5793262;57;3976;50;28;4049;16;4553
5810415;5793262;63;4383;54;34;4456;20;4869
5810416;5793262;110;7715;76;55;7658;23;8407
5810417;5793262;110;7683;76;55;7626;21;8486
5810418;5793262;113;7941;86;58;7884;23;8925
5810419;5793262;121;8476;86;66;8419;25;9608
5810420;5793262;124;8696;88;69;8639;27;9671
5810421;5793262;127;8912;97;72;8855;28;9778
5810422;5793262;131;9154;98;76;9097;27;11098
5810423;5793262;185;12943;125;101;12909;31;13153
5810457;5793262;264;18482;140;120;37538;43;19769
5810458;5793262;262;18346;135;117;37282;45;22834
5810462;5793262;283;19835;128;103;27498;48;24261
5810463;5793262;283;19818;122;101;26996;48;24332
5810464;5793262;286;20047;127;105;37005;49;24589
5812300;5793262;86;6031;84;69;30358;-1;-1
5812301;5793262;84;5867;83;72;30589;-1;-1
5812302;5793262;84;5902;84;77;30895;36;13557
5812303;5793262;-1;-1;-1;-1;-1;32;13360
5812304;5793262;74;5192;74;74;5192;27;12113
5812305;5793262;75;5248;75;75;5248;28;14046
5812306;5793262;-1;-1;-1;-1;-1;27;11090
5812307;5793262;-1;-1;-1;-1;-1;26;10779
5812308;5793262;118;8278;97;78;10653;24;10212
5812309;5793262;118;8290;97;79;10665;14;3991
5812310;5793262;-1;-1;-1;-1;-1;13;3798
5812311;5793262;41;2851;37;18;2828;12;3351
5812312;5793262;40;2771;34;16;2748;12;3161
5812313;5793262;43;2985;39;20;3471;13;3480
5812314;5793262;48;3394;43;19;3467;13;3825
5812315;5793262;52;3660;45;23;3732;14;4134
5812316;5793262;56;3952;50;28;4546;17;4573
5812317;5793262;60;4198;51;31;4792;18;4775
5812318;5793262;108;7579;74;53;7522;21;8265
5812319;5793262;106;7432;68;51;7375;23;8495
5812320;5793262;118;8275;86;63;8218;22;8988
5812321;5793262;119;8296;86;63;8239;25;9463
5812322;5793262;131;9181;88;68;9266;28;9780
5812323;5793262;130;9117;92;71;9523;31;10033
5812324;5793262;132;9231;98;77;9174;33;13299
5812325;5793262;184;12904;125;100;12870;31;13115
5812353;5793262;237;16609;157;122;29196;42;18292
5812354;5793262;240;16815;157;125;29402;42;18512
5812355;5793262;248;17367;153;128;38778;40;18652
5812356;5793262;246;17248;153;126;38638;43;19071
5812358;5793262;277;19419;150;126;40437;47;19751
