from_id;to_id;walk_t;walk_d;pt_m_tt;pt_m_t;pt_m_d;car_m_t;car_m_d
5785640;5810404;102;7151;102;102;7151;31;15338
5785641;5810404;105;7357;105;105;7357;31;15655
5785642;5810404;107;7474;107;107;7474;33;15839
5785643;5810404;111;7768;111;111;7768;40;18891
5787544;5810404;95;6662;95;95;6662;38;16056
5787545;5810404;96;6731;96;96;6731;38;16046
5787546;5810404;-1;-1;-1;-1;-1;31;14865
5787547;5810404;112;7856;112;112;7856;29;15257
5787548;5810404;108;7583;108;108;7583;28;15378
5787549;5810404;113;7876;113;113;7876;30;15621
5787550;5810404;198;13832;194;184;27720;37;18689
5789447;5810404;63;4387;63;63;4387;33;15664
5789448;5810404;67;4667;67;67;4667;33;15397
5789449;5810404;-1;-1;-1;-1;-1;33;15640
5789450;5810404;-1;-1;-1;-1;-1;37;15958
5789451;5810404;-1;-1;-1;-1;-1;32;14873
5789452;5810404;120;8427;120;120;8427;30;14765
5789453;5810404;115;8061;115;115;8061;28;14942
5789454;5810404;112;7865;112;112;7865;28;15205
5789455;5810404;121;8495;121;121;8495;30;15426
5789456;5810404;195;13672;192;182;27561;35;18600
5791353;5810404;70;4933;70;70;4933;33;15954
5791354;5810404;67;4701;67;67;4701;32;15651
5791355;5810404;68;4730;68;68;4730;31;15211
5791356;5810404;73;5078;73;73;5078;33;15364
5791357;5810404;-1;-1;-1;-1;-1;37;15950
5791358;5810404;-1;-1;-1;-1;-1;30;14259
5791359;5810404;120;8410;120;120;8410;28;14582
5791360;5810404;117;8218;117;117;8218;30;14951
5791361;5810404;118;8295;118;118;8295;31;15305
5791362;5810404;123;8606;123;123;8606;32;15613
5791363;5810404;195;13667;192;182;27556;37;18495
5793258;5810404;76;5319;76;76;5319;33;16300
5793259;5810404;72;5019;72;72;5019;35;16164
5793260;5810404;72;5052;72;72;5052;34;15577
5793261;5810404;72;5013;72;72;5013;31;15087
5793262;5810404;73;5120;73;73;5120;33;15186
5793263;5810404;-1;-1;-1;-1;-1;36;15092
5793264;5810404;-1;-1;-1;-1;-1;30;14203
5793265;5810404;123;8583;123;119;13465;28;14536
5793266;5810404;123;8642;124;119;13474;31;14733
5793267;5810404;-1;-1;-1;-1;-1;34;15528
5793268;5810404;-1;-1;-1;-1;-1;34;15754
5793269;5810404;-1;-1;-1;-1;-1;32;14567
5793270;5810404;208;14548;195;177;27241;36;17950
5795164;5810404;77;5394;77;77;5394;34;16448
5795165;5810404;78;5476;78;78;5476;33;15115
5795166;5810404;-1;-1;-1;-1;-1;33;14964
5795167;5810404;77;5413;77;77;5413;30;14585
5795168;5810404;76;5310;76;76;5310;31;14673
5795169;5810404;88;6144;88;81;23784;34;14895
5795170;5810404;130;9086;128;115;13154;27;13942
5795171;5810404;125;8782;125;114;13074;28;14243
5795172;5810404;126;8821;126;118;13409;30;14686
5795173;5810404;-1;-1;-1;-1;-1;32;14776
5795174;5810404;166;11624;132;119;13447;30;14410
5795175;5810404;165;11561;130;118;13383;31;14547
5795176;5810404;208;14584;195;178;27276;29;14566
5797069;5810404;49;3423;49;49;3423;10;2142
5797070;5810404;80;5592;80;80;5592;35;16727
5797071;5810404;82;5708;82;82;5708;31;15017
5797072;5810404;-1;-1;-1;-1;-1;31;14734
5797073;5810404;80;5588;79;77;23495;30;14818
5797074;5810404;82;5752;81;75;23391;30;14444
5797075;5810404;85;5960;85;78;23600;32;14777
5797076;5810404;131;9188;128;110;12838;28;13889
5797077;5810404;130;9128;128;112;12964;31;14322
5797078;5810404;-1;-1;-1;-1;-1;33;14859
5797079;5810404;-1;-1;-1;-1;-1;31;14695
5797080;5810404;163;11428;130;116;13250;27;13906
5797081;5810404;163;11413;130;116;13235;31;14526
5797082;5810404;173;12126;150;137;23707;29;14552
5798974;5810404;29;2050;29;29;2050;-1;-1
5798975;5810404;85;5953;85;85;5953;36;17074
5798976;5810404;85;5947;85;85;5947;38;16961
5798977;5810404;-1;-1;-1;-1;-1;32;15057
