from_id;to_id;walk_t;walk_d;pt_m_tt;pt_m_t;pt_m_d;car_m_t;car_m_d
5785640;5810423;214;14961;170;139;16656;29;13305
5785641;5810423;202;14163;174;142;16862;29;13622
5785642;5810423;203;14243;174;143;16979;32;13806
5785643;5810423;208;14537;182;148;17273;34;14654
5787544;5810423;207;14471;166;146;16193;36;14022
5787545;5810423;208;14541;166;147;16262;36;14013
5787546;5810423;-1;-1;-1;-1;-1;29;12832
5787547;5810423;201;14050;177;149;17361;28;13223
5787548;5810423;197;13825;171;145;17088;26;13345
5787549;5810423;199;13959;177;149;17381;28;13588
5787550;5810423;141;9895;141;141;9895;32;14453
5789447;5810423;193;13524;127;112;13439;32;13631
5789448;5810423;193;13522;131;107;13447;31;13364
5789449;5810423;-1;-1;-1;-1;-1;31;13606
5789450;5810423;-1;-1;-1;-1;-1;35;13925
5789451;5810423;-1;-1;-1;-1;-1;30;12840
5789452;5810423;193;13486;169;144;13955;28;12731
5789453;5810423;193;13522;169;145;13991;26;12908
5789454;5810423;194;13609;171;149;17370;27;13172
5789455;5810423;197;13786;171;148;14255;28;13393
5789456;5810423;139;9735;139;139;9735;30;14363
5791353;5810423;198;13884;134;111;13786;31;13920
5791354;5810423;195;13652;131;108;13554;30;13618
5791355;5810423;188;13175;127;109;13228;29;13178
5791356;5810423;189;13237;131;108;13563;32;13331
5791357;5810423;-1;-1;-1;-1;-1;35;13917
5791358;5810423;-1;-1;-1;-1;-1;28;12226
5791359;5810423;188;13177;167;140;13646;26;12549
5791360;5810423;189;13232;167;141;13701;28;12917
5791361;5810423;194;13585;171;146;14055;29;13272
5791362;5810423;199;13896;177;150;14365;31;13580
5791363;5810423;139;9730;139;139;9730;31;14259
5793258;5810423;204;14270;142;117;14172;32;14266
5793259;5810423;200;13970;138;113;13872;33;14131
5793260;5810423;200;14003;138;113;13905;32;13544
5793261;5810423;186;13048;131;107;13351;29;13054
5793262;5810423;185;12943;131;107;13349;31;13153
5793263;5810423;-1;-1;-1;-1;-1;34;13058
5793264;5810423;-1;-1;-1;-1;-1;28;12170
5793265;5810423;185;12962;166;151;13458;27;12503
5793266;5810423;185;12971;166;151;13467;30;12700
5793267;5810423;-1;-1;-1;-1;-1;33;13495
5793268;5810423;-1;-1;-1;-1;-1;33;13721
5793269;5810423;-1;-1;-1;-1;-1;30;12533
5793270;5810423;135;9415;135;135;9415;31;14143
5795164;5810423;205;14345;142;118;14247;33;14415
5795165;5810423;206;14426;142;119;14329;31;13082
5795166;5810423;-1;-1;-1;-1;-1;31;12931
5795167;5810423;182;12722;131;108;12649;29;12552
5795168;5810423;182;12723;131;108;12650;30;12640
5795169;5810423;183;12803;134;109;12745;32;12862
5795170;5810423;181;12652;166;146;13147;26;11909
5795171;5810423;180;12571;163;145;13067;27;12210
5795172;5810423;184;12906;166;150;13401;29;12652
5795173;5810423;-1;-1;-1;-1;-1;30;12743
5795174;5810423;185;12944;166;150;13439;28;12377
5795175;5810423;184;12881;166;150;13376;30;12514
5795176;5810423;135;9451;135;135;9451;26;12038
5797069;5810423;233;16322;166;146;16224;32;17599
5797070;5810423;208;14542;150;121;14445;34;14693
5797071;5810423;209;14659;154;122;14561;30;12984
5797072;5810423;-1;-1;-1;-1;-1;29;12700
5797073;5810423;179;12528;127;110;12469;29;12785
5797074;5810423;177;12411;127;109;12365;28;12411
5797075;5810423;180;12619;127;112;12573;31;12744
5797076;5810423;176;12336;161;142;12831;26;11856
5797077;5810423;178;12462;163;144;12957;30;12288
5797078;5810423;-1;-1;-1;-1;-1;31;12825
5797079;5810423;-1;-1;-1;-1;-1;29;12662
5797080;5810423;182;12747;166;148;13242;26;11873
5797081;5810423;182;12733;166;147;13228;29;12493
5797082;5810423;84;5882;84;84;5882;26;12024
5798974;5810423;222;15575;162;145;16162;-1;-1
5798975;5810423;213;14903;154;126;14806;34;15040
5798976;5810423;213;14898;154;126;14800;36;14928
5798977;5810423;-1;-1;-1;-1;-1;30;13024
5798978;5810423;-1;-1;-1;-1;-1;28;12495
5798979;5810423;174;12167;127;109;12116;29;12853
5798980;5810423;174;12167;127;109;12115;29;12229
5798981;5810423;178;12439;131;108;12374;31;12617
5798982;5810423;174;12167;159;139;12663;26;11716
5798983;5810423;172;12042;158;138;12537;28;11656
5798984;5810423;172;12034;158;137;12530;30;11648
5798985;5810423;177;12400;161;143;12895;26;11540
5798986;5810423;175;12261;159;141;12757;26;11806
5798987;5810423;179;12517;163;144;13013;29;12265
5798988;5810423;78;5465;78;78;5465;25;11500
5800879;5810423;215;15078;160;146;16225;29;13742
5800880;5810423;219;15358;162;149;16442;-1;-1
5800881;5810423;216;15108;158;129;15010;33;17369
5800882;5810423;175;12256;154;125;13049;30;12246
5800883;5810423;176;12291;154;126;13085;29;12023
5800884;5810423;-1;-1;-1;-1;-1;28;12312
5800885;5810423;171;11948;127;107;11957;27;12014
5800886;5810423;169;11800;127;109;12102;30;11972
5800887;5810423;170;11920;131;107;12361;31;12606
5800888;5810423;163;11379;154;128;11874;26;10832
5800889;5810423;168;11782;155;134;12278;26;11421
5800890;5810423;169;11858;155;135;12354;28;11334
5800891;5810423;172;12069;159;138;12564;25;11211
5800892;5810423;172;12005;158;137;12501;26;11648
5800893;5810423;174;12167;159;139;12663;28;11814
5800894;5810423;77;5375;77;77;5375;25;11506
5800895;5810423;73;5135;73;73;5135;26;11406
5802783;5810423;214;14979;169;151;28577;29;13675
